appid,name,tag_id,tag_name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,search_total_reviews,korean_reviews,korean_positive_percent,search_rank,search_sort,review_score_desc,priority
1617400,The Bazaar,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,72.93,5584,446,84.75,164,Reviews_ASC,Mostly Positive,43
2503740,Storm Striker,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,71.09,1063,426,74.65,489,Reviews_ASC,Mostly Positive,44
235600,Tom Clancy’s Splinter Cell Blacklist,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,78.9,8384,405,82.47,725,Reviews_ASC,Mostly Positive,45
1954420,Riichi City - Japanese Mahjong,9,Strategy,Mixed,Mixed,복합적,48.03,908,382,61.52,580,Reviews_ASC,Mixed,46
826630,Iron Harvest,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,72.66,6091,357,52.38,731,Reviews_ASC,Mostly Positive,47
2620240,Spectral Scream,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,78.17,652,352,84.38,577,Reviews_ASC,Mostly Positive,48
2622000,Astral Party,9,Strategy,Mixed,Mixed,복합적,54.75,1790,351,78.92,60,Reviews_ASC,Mixed,49
2526380,Sword of Convallaria,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,75.12,2793,310,73.23,227,Reviews_ASC,Mostly Positive,50
1812450,Bellwright,9,Strategy,Very Positive,Very Positive,매우 긍정적,80.63,9542,307,76.55,136,Reviews_ASC,Very Positive,51
392160,X4: Foundations,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,79.98,13184,306,74.51,283,Reviews_ASC,Mostly Positive,52
359320,Elite Dangerous,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,77.36,52783,303,69.31,416,Reviews_ASC,Mostly Positive,53
1850510,TRIANGLE STRATEGY,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,79.91,1444,289,79.24,260,Reviews_ASC,Mostly Positive,54
505460,Foxhole,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,79.63,29087,285,75.09,652,Reviews_ASC,Mostly Positive,55
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,76.79,7331,247,80.97,183,Reviews_ASC,Mostly Positive,56
1809700,Persona 3 Portable,9,Strategy,Very Positive,Very Positive,매우 긍정적,80.61,2903,238,81.09,310,Reviews_ASC,Very Positive,57
718670,Cultist Simulator,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,79.93,5217,231,81.39,567,Reviews_ASC,Mostly Positive,58
1361000,In Silence,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,74.61,4749,228,71.49,713,_ASC,Mostly Positive,59
2688950,Planet Coaster 2,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,72.84,7921,215,65.58,135,Reviews_ASC,Mostly Positive,60
1426450,Age of Darkness: Final Stand,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,74.79,5383,215,67.91,704,Reviews_ASC,Mostly Positive,61
359550,Tom Clancy's Rainbow Six Siege,9,Strategy,Very Positive,Very Positive,매우 긍정적,82.39,785810,52584,79.67,8,_ASC,Very Positive,62
1049590,Eternal Return,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,76.27,12507,35289,75.05,6,Reviews_ASC,Mostly Positive,63
730,Counter-Strike 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,86.12,2549879,25699,80.17,1,Reviews_ASC,Very Positive,64
1973530,Limbus Company,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.75,45908,17332,83.8,5,Reviews_ASC,Very Positive,65
289070,Sid Meier’s Civilization® VI,9,Strategy,Very Positive,Very Positive,매우 긍정적,86.04,106356,12309,89.42,47,Reviews_ASC,Very Positive,66
648800,Raft,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.04,128651,10557,90.68,19,Reviews_ASC,Very Positive,67
568220,Lobotomy Corporation | Monster Management Simulation,9,Strategy,Very Positive,Very Positive,매우 긍정적,94.21,13561,9526,89.71,75,Reviews_ASC,Very Positive,68
262060,Darkest Dungeon®,9,Strategy,Very Positive,Very Positive,매우 긍정적,91.68,56109,9199,85.77,114,Reviews_ASC,Very Positive,69
218620,PAYDAY 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.32,174500,8578,80.4,68,Reviews_ASC,Very Positive,70
394360,Hearts of Iron IV,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.2,121906,7426,88.39,20,Reviews_ASC,Very Positive,71
322170,Geometry Dash,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.06,280347,6885,88.76,73,Reviews_ASC,Very Positive,72
255710,Cities: Skylines,9,Strategy,Very Positive,Very Positive,매우 긍정적,92.88,99687,6552,93.38,56,Reviews_ASC,Very Positive,73
779340,Total War: THREE KINGDOMS,9,Strategy,Very Positive,Very Positive,매우 긍정적,82.21,17266,5991,88.25,89,Reviews_ASC,Very Positive,74
323190,Frostpunk,9,Strategy,Very Positive,Very Positive,매우 긍정적,92.72,38447,5187,94.56,116,Reviews_ASC,Very Positive,75
570,Dota 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,80.77,829381,5169,76.09,22,Reviews_ASC,Very Positive,76
261550,Mount & Blade II: Bannerlord,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.7,97015,4877,82.84,25,_ASC,Very Positive,77
728880,Overcooked! 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.46,14267,4718,95.21,30,Reviews_ASC,Very Positive,78
1568590,Goose Goose Duck,9,Strategy,Very Positive,Very Positive,매우 긍정적,86.55,12997,4125,90.55,117,Reviews_ASC,Very Positive,79
268500,XCOM® 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,84.57,44522,4048,87.85,230,Reviews_ASC,Very Positive,80
2868840,Slay the Spire 2,9,Strategy,Mixed,Mixed,복합적,63.18,53286,4009,87.8,4,_ASC,Mixed,81
282070,This War of Mine,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.86,22909,3935,95.2,259,Reviews_ASC,Very Positive,82
240720,Getting Over It with Bennett Foddy,9,Strategy,Very Positive,Very Positive,매우 긍정적,82.31,41113,3905,75.16,246,Reviews_ASC,Very Positive,83
251570,7 Days to Die,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.12,124456,3865,86.18,48,Reviews_ASC,Very Positive,84
305620,The Long Dark,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.01,40372,3849,87.53,226,Reviews_ASC,Very Positive,85
1158310,Crusader Kings III,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.46,49089,3691,93.04,17,Reviews_ASC,Very Positive,86
594570,Total War: WARHAMMER II,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.0,50705,3500,94.69,79,Reviews_ASC,Very Positive,87
107410,Arma 3,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.41,110535,2893,81.23,212,Reviews_ASC,Very Positive,88
518790,theHunter: Call of the Wild™,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.09,62326,2659,84.66,66,Reviews_ASC,Very Positive,89
460930,Tom Clancy's Ghost Recon® Wildlands,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,79.65,37467,2427,74.7,304,Reviews_ASC,Mostly Positive,90
527230,For The King,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.82,11594,2311,91.95,189,Reviews_ASC,Very Positive,91
281990,Stellaris,9,Strategy,Very Positive,Very Positive,매우 긍정적,85.93,75695,2301,89.09,35,Reviews_ASC,Very Positive,92
231430,Company of Heroes 2,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,79.04,28323,2255,75.48,313,Reviews_ASC,Mostly Positive,93
208650,Batman™: Arkham Knight,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.53,49724,2200,77.91,313,_ASC,Very Positive,94
493340,Planet Coaster,9,Strategy,Very Positive,Very Positive,매우 긍정적,91.36,31112,2065,90.07,351,Reviews_ASC,Very Positive,95
644930,They Are Billions,9,Strategy,Very Positive,Very Positive,매우 긍정적,85.19,18812,1957,83.9,210,Reviews_ASC,Very Positive,96
1527950,Wartales,9,Strategy,Very Positive,Very Positive,매우 긍정적,86.26,13284,1857,91.28,43,Reviews_ASC,Very Positive,97
356190,Middle-earth™: Shadow of War™,9,Strategy,Very Positive,Very Positive,매우 긍정적,88.88,36133,1798,74.25,225,Reviews_ASC,Very Positive,98
1238860,Battlefield 4™,9,Strategy,Very Positive,Very Positive,매우 긍정적,84.89,28969,1620,70.93,427,Reviews_ASC,Very Positive,99
200510,XCOM: Enemy Unknown,9,Strategy,Very Positive,Very Positive,매우 긍정적,93.19,24872,1600,94.88,772,Reviews_ASC,Very Positive,100
703080,Planet Zoo,9,Strategy,Very Positive,Very Positive,매우 긍정적,91.13,41873,1596,84.15,61,_ASC,Very Positive,101
236850,Europa Universalis IV,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.62,47533,1542,87.29,139,Reviews_ASC,Very Positive,102
2679460,Metaphor: ReFantazio,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.81,13351,1521,91.06,169,Reviews_ASC,Very Positive,103
3314790,CloverPit,9,Strategy,Very Positive,Very Positive,매우 긍정적,90.29,11821,1519,88.02,34,Reviews_ASC,Very Positive,104
201270,Total War: SHOGUN 2,9,Strategy,Very Positive,Very Positive,매우 긍정적,91.78,21493,1427,91.38,159,Reviews_ASC,Very Positive,105
601510,Yu-Gi-Oh! Duel Links,9,Strategy,Very Positive,Very Positive,매우 긍정적,82.94,20339,1366,74.6,106,Reviews_ASC,Very Positive,106
429050,Feed and Grow: Fish,9,Strategy,Mostly Positive,Mostly Positive,대체로 긍정적,78.11,12568,1346,76.3,129,Reviews_ASC,Mostly Positive,107
1139900,Ghostrunner,9,Strategy,Very Positive,Very Positive,매우 긍정적,91.25,19217,1228,85.75,627,Reviews_ASC,Very Positive,108
1466860,Age of Empires IV: Anniversary Edition,9,Strategy,Very Positive,Very Positive,매우 긍정적,85.73,28072,1221,85.75,21,Reviews_ASC,Very Positive,109
648350,Jurassic World Evolution,9,Strategy,Very Positive,Very Positive,매우 긍정적,87.4,23330,1215,81.56,443,Reviews_ASC,Very Positive,110
233450,Prison Architect,9,Strategy,Very Positive,Very Positive,매우 긍정적,89.27,33867,1197,86.97,348,Reviews_ASC,Very Positive,111
