appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
1555400,Gomoku Let's Go,80-090,88.0,454,85.68,2157,Very Positive,81
2310700,Shadow Corridor 2 雨ノ四葩,80-090,88.0,422,92.18,2159,Very Positive,82
251570,7 Days to Die,80-090,85.0,3864,86.18,2317,Very Positive,83
261550,Mount & Blade II: Bannerlord,80-090,87.0,4875,82.83,2318,Very Positive,84
236850,Europa Universalis IV,80-090,87.0,1542,87.29,2320,Very Positive,85
588430,Fallout Shelter,80-090,85.0,569,82.6,2321,Very Positive,86
214950,Total War: ROME II - Emperor Edition,80-090,85.0,762,89.9,2322,Very Positive,87
648350,Jurassic World Evolution,80-090,86.0,1215,81.56,2323,Very Positive,88
2186680,"Warhammer 40,000: Rogue Trader",80-090,86.0,177,88.7,2324,Very Positive,89
527230,For The King,80-090,88.0,2311,91.95,2325,Very Positive,90
242860,Verdun,80-090,88.0,218,67.89,2326,Very Positive,91
365360,Battle Brothers,80-090,89.0,812,91.13,2327,Very Positive,92
521890,Hello Neighbor,80-090,83.0,123,70.73,2328,Very Positive,93
492720,Tropico 6,80-090,87.0,1575,90.41,2329,Very Positive,94
291650,Pillars of Eternity,80-090,87.0,537,89.2,2330,Very Positive,95
1115690,"Yes, Your Grace",80-090,85.0,162,88.89,2331,Very Positive,96
48720,Mount & Blade: With Fire & Sword,80-090,82.0,111,79.28,2332,Very Positive,97
1593030,Terra Nil,80-090,86.0,105,85.71,2337,Very Positive,98
474750,Reigns,80-090,84.0,537,76.91,2338,Very Positive,99
328080,Rise to Ruins,80-090,87.0,128,76.56,2339,Very Positive,100
761620,Beholder 2,80-090,82.0,133,78.2,2341,Very Positive,101
2289750,Super Fantasy Kingdom,80-090,88.0,119,73.11,2342,Very Positive,102
1108370,Ratropolis,80-090,86.0,1254,91.79,2343,Very Positive,103
2244130,Ratopia,80-090,88.0,642,86.45,2347,Very Positive,104
405900,Disgaea PC,80-090,88.0,281,75.44,2348,Very Positive,105
809140,Cliff Empire,80-090,84.0,117,88.89,2349,Very Positive,106
375530,"Football, Tactics & Glory",80-090,89.0,139,84.89,2351,Very Positive,107
204240,The Bridge,80-090,85.0,108,71.3,2354,Very Positive,108
803600,Disgaea 5 Complete,80-090,89.0,259,81.85,2359,Very Positive,109
3028310,Nordhold,80-090,85.0,104,90.38,2362,Very Positive,110
3019370,Malware,80-090,87.0,219,86.76,2390,Very Positive,111
2223590,2112TD: Tower Defense Survival,80-090,87.0,154,91.56,2432,Very Positive,112
1454010,Diary of Lucie,80-090,87.0,405,90.12,2433,Very Positive,113
730,Counter-Strike 2,80-090,86.0,25696,80.18,2559,Very Positive,114
289070,Sid Meier’s Civilization® VI,80-090,84.0,12306,89.42,2560,Very Positive,115
371660,Far Cry® Primal,80-090,85.0,872,75.8,2562,Very Positive,116
