appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
3551340,Football Manager 26,30-040,36.0,1999,13.56,34,Mostly Negative,1
2584990,Shadowverse: Worlds Beyond,30-040,37.0,1624,22.11,111,Mostly Negative,2
48220,Might & Magic: Heroes VI,30-040,38.0,286,52.1,1441,Mostly Negative,3
285190,"Warhammer 40,000: Dawn of War III",40-050,47.0,570,32.98,711,Mixed,4
949230,Cities: Skylines II,50-060,56.0,1923,55.95,22,Mixed,5
1295660,Sid Meier's Civilization VII,50-060,51.0,1061,41.28,55,Mixed,6
3308670,GIRLS' FRONTLINE 2: EXILIUM,50-060,52.0,674,35.46,68,Mixed,7
2141910,Magic: The Gathering Arena,50-060,58.0,130,75.38,91,Mixed,8
3247080,UNLIGHT:Revive,50-060,54.0,152,73.68,328,Mixed,9
1341200,DYNASTY WARRIORS 9 Empires,50-060,50.0,257,63.81,340,Mixed,10
311310,Naval Action,50-060,50.0,117,59.83,650,Mixed,11
1100410,Commandos 2 - HD Remaster,50-060,58.0,106,46.23,1029,Mixed,12
311260,The Guild 3,50-060,59.0,259,53.28,1058,Mixed,13
321960,Might & Magic® Heroes® VII,50-060,52.0,185,49.19,1098,Mixed,14
65980,Sid Meier's Civilization®: Beyond Earth™,50-060,58.0,754,55.17,1221,Mixed,15
604540,Empire of Sin,50-060,51.0,120,29.17,1350,Mixed,16
578080,PUBG: BATTLEGROUNDS,60-070,66.0,146847,71.5,2,Mixed,17
1677280,Company of Heroes 3,60-070,62.0,1581,43.96,26,Mixed,18
3274580,Anno 117: Pax Romana,60-070,66.0,222,72.52,78,Mixed,19
304390,FOR HONOR™,60-070,69.0,4051,59.07,82,Mixed,20
1604270,Broken Arrow,60-070,61.0,420,48.57,98,Mixed,21
363150,Romance of the Three Kingdoms XIII,60-070,68.0,1621,67.24,151,Mixed,22
1292630,3on3 FreeStyle: Rebound,60-070,62.0,217,45.16,179,Mixed,23
1997040,MARVEL SNAP,60-070,67.0,1219,77.52,210,Mixed,24
1424800,Uncharted Waters IV HD Version,60-070,66.0,523,69.22,278,Mixed,25
470220,UNO,60-070,69.0,100,66.0,338,Mixed,26
1937780,Total War: PHARAOH,60-070,64.0,136,58.09,372,Mixed,27
443110,Armored Warfare,60-070,60.0,180,65.0,417,Mixed,28
1124300,HUMANKIND™,60-070,69.0,700,57.14,433,Mixed,29
712100,A Total War Saga: THRONES OF BRITANNIA,60-070,69.0,368,72.01,491,Mixed,30
800270,Terraforming Mars,60-070,69.0,138,68.84,504,Mixed,31
3419290,GOD FORSAKEN,60-070,69.0,117,61.54,545,Mixed,32
1845910,Dragon Age™: The Veilguard,60-070,67.0,478,65.69,577,Mixed,33
1222730,STAR WARS™: Squadrons,60-070,68.0,269,63.2,743,Mixed,34
1352080,SMASH LEGENDS,60-070,66.0,1227,56.64,777,Mixed,35
859580,Imperator: Rome,60-070,67.0,144,55.56,805,Mixed,36
593600,PixARK,60-070,69.0,342,65.2,914,Mixed,37
1433140,The Texas Chain Saw Massacre,60-070,66.0,209,58.37,951,Mixed,38
526160,The Wild Eight,60-070,68.0,837,60.69,971,Mixed,39
368070,Sniper Ghost Warrior 3,60-070,67.0,301,45.85,1110,Mixed,40
1580520,Lost Eidolons,60-070,69.0,188,73.94,1298,Mixed,41
1449850,Yu-Gi-Oh! Master Duel,70-080,73.0,8314,75.02,3,Mostly Positive,42
381210,Dead by Daylight,70-080,79.0,23820,73.16,8,Mostly Positive,43
2767030,Marvel Rivals,70-080,77.0,2065,74.09,21,Mostly Positive,44
1142710,Total War: WARHAMMER III,70-080,70.0,3685,69.31,24,Mostly Positive,45
1407200,World of Tanks,70-080,73.0,1256,76.35,29,Mostly Positive,46
835570,Conqueror's Blade,70-080,73.0,2905,75.28,30,Mostly Positive,47
529340,Victoria 3,70-080,70.0,2174,76.63,40,Mostly Positive,48
1874880,Arma Reforger,70-080,78.0,162,69.14,46,Mostly Positive,49
625960,Stoneshard,70-080,74.0,1031,73.81,50,Mostly Positive,50
3609080,StarSavior,70-080,72.0,900,37.44,51,Mostly Positive,51
444200,World of Tanks Blitz,70-080,74.0,1298,64.02,65,Mostly Positive,52
