appid,name,overall_rating_bin,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
2622000,Astral Party,70-080,76.0,351,78.92,72,Mostly Positive,53
916440,Anno 1800,70-080,78.0,1167,86.2,74,Mostly Positive,54
1676840,For The King II,70-080,79.0,582,59.45,77,Mostly Positive,55
3202030,龙胤立志传,70-080,77.0,177,97.74,87,Mostly Positive,56
761890,Albion Online,70-080,74.0,2117,81.96,93,Mostly Positive,57
2688950,Planet Coaster 2,70-080,72.0,215,65.58,132,Mostly Positive,58
376210,The Isle,70-080,77.0,1159,78.08,136,Mostly Positive,59
3450310,Europa Universalis V,70-080,71.0,514,60.89,145,Mostly Positive,60
1601580,Frostpunk 2,70-080,78.0,810,58.52,150,Mostly Positive,61
8500,EVE Online,70-080,72.0,1597,76.83,160,Mostly Positive,62
1812450,Bellwright,70-080,79.0,307,76.55,187,Mostly Positive,63
1617400,The Bazaar,70-080,79.0,445,84.72,198,Mostly Positive,64
2526380,Sword of Convallaria,70-080,74.0,310,73.23,204,Mostly Positive,65
1243830,Overcooked! All You Can Eat,70-080,70.0,193,68.39,227,Mostly Positive,66
550650,Black Squad,70-080,70.0,3742,73.49,228,Mostly Positive,67
2503740,Storm Striker,70-080,71.0,426,74.65,239,Mostly Positive,68
368500,Assassin's Creed® Syndicate,70-080,78.0,1208,78.06,249,Mostly Positive,69
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",70-080,78.0,246,80.89,252,Mostly Positive,70
313120,Stranded Deep,70-080,74.0,514,66.93,257,Mostly Positive,71
392160,X4: Foundations,70-080,78.0,305,74.75,270,Mostly Positive,72
1737690,Yacht Dice,70-080,77.0,560,78.75,350,Mostly Positive,73
1850510,TRIANGLE STRATEGY,70-080,77.0,289,79.24,366,Mostly Positive,74
1809700,Persona 3 Portable,70-080,79.0,238,81.09,405,Mostly Positive,75
24010,Train Simulator Classic,70-080,73.0,181,61.88,418,Mostly Positive,76
1060220,Langrisser I & II,70-080,73.0,127,57.48,423,Mostly Positive,77
1566690,Outpost: Infinity Siege,70-080,72.0,196,71.43,445,Mostly Positive,78
2620240,Spectral Scream,70-080,78.0,352,84.38,446,Mostly Positive,79
359320,Elite Dangerous,70-080,76.0,303,69.31,461,Mostly Positive,80
1184050,Gears Tactics,70-080,78.0,116,56.03,475,Mostly Positive,81
838350,The Scroll Of Taiwu,70-080,75.0,149,79.19,479,Mostly Positive,82
1099410,A Total War Saga: TROY,70-080,70.0,100,75.0,492,Mostly Positive,83
1954420,Riichi City - Japanese Mahjong,70-080,76.0,382,61.52,498,Mostly Positive,84
3285500,Three Kingdoms Mushouden,70-080,72.0,192,86.98,502,Mostly Positive,85
2254740,Persona 5 Tactica,70-080,74.0,106,71.7,593,Mostly Positive,86
978520,Legend of Keepers: Career of a Dungeon Manager,70-080,76.0,121,73.55,601,Mostly Positive,87
297000,Heroes® of Might & Magic® III - HD Edition,70-080,78.0,137,62.04,618,Mostly Positive,88
505460,Foxhole,70-080,78.0,285,75.09,644,Mostly Positive,89
718670,Cultist Simulator,70-080,79.0,231,81.39,668,Mostly Positive,90
373930,Sudden Strike 4,70-080,79.0,154,79.22,670,Mostly Positive,91
3072640,Guidus Zero,70-080,75.0,214,85.51,671,Mostly Positive,92
627690,Idle Champions of the Forgotten Realms,70-080,76.0,171,83.04,774,Mostly Positive,93
933820,Endzone - A World Apart,70-080,76.0,314,73.57,789,Mostly Positive,94
573100,Battlefleet Gothic: Armada 2,70-080,74.0,153,86.93,794,Mostly Positive,95
1227530,Partisans 1941,70-080,77.0,121,66.94,833,Mostly Positive,96
1681970,神都不良探 Underdog Detective,70-080,73.0,136,97.79,869,Mostly Positive,97
1229900,ARIA CHRONICLE,70-080,79.0,305,73.77,902,Mostly Positive,98
826630,Iron Harvest,70-080,75.0,357,52.38,921,Mostly Positive,99
1222690,Dragon Age™ Inquisition,70-080,75.0,609,72.09,926,Mostly Positive,100
1361000,In Silence,70-080,73.0,228,71.49,933,Mostly Positive,101
282400,SuperPower 2 Steam Edition,70-080,78.0,488,71.93,941,Mostly Positive,102
243470,Watch_Dogs™,70-080,75.0,751,64.58,960,Mostly Positive,103
640820,Pathfinder: Kingmaker — Enhanced Plus Edition,70-080,76.0,425,79.29,984,Mostly Positive,104
2917350,Spin Hero,70-080,73.0,159,77.99,995,Mostly Positive,105
577230,Three Kingdoms The Last Warlord,70-080,70.0,157,80.25,1012,Mostly Positive,106
567630,Blood of Steel,70-080,76.0,123,63.41,1041,Mostly Positive,107
39680,The Guild II Renaissance,70-080,79.0,148,80.41,1068,Mostly Positive,108
2322440,METAL SLUG ATTACK RELOADED,70-080,70.0,219,57.99,1074,Mostly Positive,109
1374840,Dark Deity,70-080,75.0,108,59.26,1105,Mostly Positive,110
1262240,Plants vs. Zombies: Battle for Neighborville™,70-080,75.0,116,72.41,1115,Mostly Positive,111
1426450,Age of Darkness: Final Stand,70-080,75.0,215,67.91,1122,Mostly Positive,112
768520,Red Solstice 2: Survivors,70-080,78.0,161,62.11,1151,Mostly Positive,113
292120,FINAL FANTASY® XIII,70-080,75.0,608,55.43,1183,Mostly Positive,114
297130,Titan Souls,70-080,71.0,519,85.36,1188,Mostly Positive,115
515180,Bus Simulator 18,70-080,79.0,364,69.78,1225,Mostly Positive,116
769560,月圆之夜 (Night of Full Moon),70-080,79.0,169,85.8,1229,Mostly Positive,117
718850,Age of Wonders: Planetfall,70-080,79.0,109,72.48,1238,Mostly Positive,118
352720,The Universim,70-080,79.0,179,66.48,1240,Mostly Positive,119
1009560,The Tenants,70-080,78.0,254,75.2,1245,Mostly Positive,120
235600,Tom Clancy’s Splinter Cell Blacklist,70-080,73.0,405,82.22,1263,Mostly Positive,121
882100,XCOM®: Chimera Squad,70-080,73.0,755,71.79,1339,Mostly Positive,122
386360,SMITE®,70-080,77.0,113,71.68,1373,Mostly Positive,123
1359090,Zero Hour,70-080,78.0,479,72.65,1407,Mostly Positive,124
383120,Empyrion - Galactic Survival,70-080,79.0,130,71.54,1415,Mostly Positive,125
245620,Tropico 5,70-080,76.0,564,84.22,1418,Mostly Positive,126
311290,SpellForce 3 Reforced,70-080,75.0,199,75.88,1435,Mostly Positive,127
281610,Homeworld: Deserts of Kharak,70-080,78.0,101,73.27,1437,Mostly Positive,128
730,Counter-Strike 2,80-090,86.0,25696,80.18,1,Very Positive,129
1049590,Eternal Return,80-090,80.0,35306,75.03,6,Very Positive,130
359550,Tom Clancy's Rainbow Six Siege,80-090,82.0,52580,79.67,7,Very Positive,131
1466860,Age of Empires IV: Anniversary Edition,80-090,86.0,1221,85.75,20,Very Positive,132
570,Dota 2,80-090,88.0,5170,76.09,25,Very Positive,133
281990,Stellaris,80-090,86.0,2301,89.09,27,Very Positive,134
261550,Mount & Blade II: Bannerlord,80-090,87.0,4875,82.83,33,Very Positive,135
289070,Sid Meier’s Civilization® VI,80-090,84.0,12306,89.42,42,Very Positive,136
1527950,Wartales,80-090,85.0,1857,91.28,47,Very Positive,137
3097560,Liar's Bar,80-090,89.0,588,89.29,59,Very Positive,138
251570,7 Days to Die,80-090,85.0,3864,86.18,61,Very Positive,139
779340,Total War: THREE KINGDOMS,80-090,84.0,5991,88.25,62,Very Positive,140
1284210,Guild Wars 2®,80-090,88.0,124,80.65,70,Very Positive,141
1669000,Age of Wonders 4,80-090,82.0,533,86.3,75,Very Positive,142
492720,Tropico 6,80-090,87.0,1575,90.41,81,Very Positive,143
218620,PAYDAY 2,80-090,87.0,8578,80.4,83,Very Positive,144
601510,Yu-Gi-Oh! Duel Links,80-090,81.0,1366,74.6,85,Very Positive,145
1363080,Manor Lords,80-090,87.0,1109,73.67,89,Very Positive,146
1044720,Farthest Frontier,80-090,86.0,476,84.24,102,Very Positive,147
2186680,"Warhammer 40,000: Rogue Trader",80-090,86.0,177,88.7,107,Very Positive,148
364360,Total War: WARHAMMER,80-090,82.0,1023,86.41,109,Very Positive,149
686810,Hell Let Loose,80-090,83.0,1006,73.46,113,Very Positive,150
236850,Europa Universalis IV,80-090,87.0,1542,87.29,116,Very Positive,151
393380,Squad,80-090,84.0,1117,75.65,128,Very Positive,152
780290,Gloomhaven,80-090,82.0,227,85.02,133,Very Positive,153
429050,Feed and Grow: Fish,80-090,80.0,1345,76.28,142,Very Positive,154
47890,The Sims™ 3,80-090,86.0,665,82.86,146,Very Positive,155
933110,Age of Empires III: Definitive Edition,80-090,84.0,624,72.76,155,Very Positive,156
223750,DCS World Steam Edition,80-090,84.0,550,90.73,169,Very Positive,157
400750,Call to Arms - Gates of Hell: Ostfront,80-090,86.0,168,82.14,173,Very Positive,158
365360,Battle Brothers,80-090,89.0,812,91.13,177,Very Positive,159
527230,For The King,80-090,88.0,2311,91.95,183,Very Positive,160
214950,Total War: ROME II - Emperor Edition,80-090,85.0,762,89.9,192,Very Positive,161
690830,Foundation,80-090,86.0,418,75.36,199,Very Positive,162
644930,They Are Billions,80-090,80.0,1956,83.9,201,Very Positive,163
268500,XCOM® 2,80-090,85.0,4048,87.85,219,Very Positive,164
305620,The Long Dark,80-090,87.0,3849,87.53,220,Very Positive,165
2780980,LOCKDOWN Protocol,80-090,83.0,242,88.84,231,Very Positive,166
1296610,Peglin,80-090,88.0,733,72.85,236,Very Positive,167
356190,Middle-earth™: Shadow of War™,80-090,88.0,1798,74.25,242,Very Positive,168
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,80-090,81.0,362,83.98,246,Very Positive,169
460930,Tom Clancy's Ghost Recon® Wildlands,80-090,80.0,2427,74.7,254,Very Positive,170
719040,Wasteland 3,80-090,85.0,468,88.68,255,Very Positive,171
1106840,Hydroneer,80-090,86.0,180,80.0,286,Very Positive,172
240720,Getting Over It with Bennett Foddy,80-090,84.0,3906,75.17,291,Very Positive,173
231430,Company of Heroes 2,80-090,84.0,2255,75.48,292,Very Positive,174
1150440,Aliens: Dark Descent,80-090,88.0,510,82.94,293,Very Positive,175
977400,Cell to Singularity - Evolution Never Ends,80-090,86.0,355,89.3,319,Very Positive,176
1066780,Transport Fever 2,80-090,89.0,267,84.64,321,Very Positive,177
466560,Northgard: Definitive Edition,80-090,84.0,867,76.82,323,Very Positive,178
291650,Pillars of Eternity,80-090,87.0,537,89.2,325,Very Positive,179
431240,Golf With Your Friends,80-090,89.0,190,85.26,326,Very Positive,180
544810,KARDS - The WW2 Card Game,80-090,80.0,377,81.17,329,Very Positive,181
16900,GROUND BRANCH,80-090,88.0,479,83.3,330,Very Positive,182
325610,Total War: ATTILA,80-090,80.0,679,86.3,346,Very Positive,183
1238860,Battlefield 4™,80-090,83.0,1620,70.93,349,Very Positive,184
373420,Divinity: Original Sin - Enhanced Edition,80-090,86.0,495,87.27,363,Very Positive,185
371660,Far Cry® Primal,80-090,85.0,872,75.8,367,Very Positive,186
244850,Space Engineers,80-090,89.0,527,85.58,375,Very Positive,187
233450,Prison Architect,80-090,88.0,1197,86.97,400,Very Positive,188
427730,Who's Your Daddy?!,80-090,82.0,240,67.08,402,Very Positive,189
392110,ENDLESS Space™ 2,80-090,83.0,465,81.72,448,Very Positive,190
368260,Marvel's Midnight Suns,80-090,83.0,702,83.33,457,Very Positive,191
633230,NARUTO TO BORUTO: SHINOBI STRIKER,80-090,85.0,317,61.51,478,Very Positive,192
588430,Fallout Shelter,80-090,85.0,569,82.6,485,Very Positive,193
10500,Total War: EMPIRE – Definitive Edition,80-090,89.0,266,86.09,488,Very Positive,194
669330,Mechabellum,80-090,84.0,258,94.19,506,Very Positive,195
218230,PlanetSide 2,80-090,81.0,802,76.43,596,Very Positive,196
648350,Jurassic World Evolution,80-090,86.0,1215,81.56,666,Very Positive,197
521890,Hello Neighbor,80-090,83.0,123,70.73,686,Very Positive,198
657200,Hand Simulator,80-090,83.0,2807,80.09,720,Very Positive,199
637090,BATTLETECH,80-090,85.0,202,74.75,757,Very Positive,200
203140,Hitman: Absolution™,80-090,88.0,661,86.23,812,Very Positive,201
363970,Clicker Heroes,80-090,88.0,401,89.53,844,Very Positive,202
858810,Dawn of Man,80-090,85.0,269,77.32,858,Very Positive,203
47810,Dragon Age: Origins - Ultimate Edition,80-090,85.0,235,81.7,864,Very Positive,204
110800,L.A. Noire,80-090,83.0,292,76.37,950,Very Positive,205
603850,Age of History II,80-090,86.0,694,76.37,1020,Very Positive,206
314160,Microsoft Flight Simulator X: Steam Edition,80-090,86.0,271,84.87,1140,Very Positive,207
302670,Call to Arms,80-090,80.0,222,68.47,1163,Very Positive,208
335240,Transformice,80-090,85.0,108,90.74,1165,Very Positive,209
289130,ENDLESS Legend™,80-090,85.0,341,80.35,1172,Very Positive,210
298630,The Escapists,80-090,89.0,138,84.78,1325,Very Positive,211
682990,Drug Dealer Simulator,80-090,85.0,120,59.17,1356,Very Positive,212
242860,Verdun,80-090,88.0,218,67.89,1398,Very Positive,213
1276390,Bloons TD Battles 2,80-090,83.0,102,79.41,1485,Very Positive,214
2868840,Slay the Spire 2,90-100,94.0,4013,87.76,4,Very Positive,215
1973530,Limbus Company,90-100,92.0,17317,83.77,5,Very Positive,216
294100,RimWorld,90-100,97.0,8057,98.09,11,Overwhelmingly Positive,217
526870,Satisfactory,90-100,97.0,3907,96.78,12,Overwhelmingly Positive,218
394360,Hearts of Iron IV,90-100,91.0,7428,88.41,13,Very Positive,219
1158310,Crusader Kings III,90-100,90.0,3691,93.04,16,Very Positive,220
813780,Age of Empires II: Definitive Edition,90-100,95.0,2074,89.2,17,Overwhelmingly Positive,221
648800,Raft,90-100,93.0,10557,90.68,18,Very Positive,222
322330,Don't Starve Together,90-100,95.0,12831,93.41,23,Overwhelmingly Positive,223
427520,Factorio,90-100,98.0,4050,98.35,28,Overwhelmingly Positive,224
646570,Slay the Spire,90-100,97.0,10097,98.2,33,Overwhelmingly Positive,225
2592160,Dispatch,90-100,97.0,1132,96.2,34,Overwhelmingly Positive,226
2379780,Balatro,90-100,98.0,2339,97.56,35,Overwhelmingly Positive,227
3590,Plants vs. Zombies GOTY Edition,90-100,98.0,886,92.21,37,Overwhelmingly Positive,228
728880,Overcooked! 2,90-100,93.0,4715,95.21,37,Very Positive,229
48700,Mount & Blade: Warband,90-100,97.0,2370,97.09,38,Overwhelmingly Positive,230
286160,Tabletop Simulator,90-100,96.0,2562,95.12,39,Overwhelmingly Positive,231
1366540,Dyson Sphere Program,90-100,96.0,486,98.15,39,Overwhelmingly Positive,232
239030,"Papers, Please",90-100,97.0,1813,95.2,40,Overwhelmingly Positive,233
1113000,Persona 4 Golden,90-100,97.0,2484,95.53,41,Overwhelmingly Positive,234
246620,Plague Inc: Evolved,90-100,93.0,1063,92.47,52,Very Positive,235
255710,Cities: Skylines,90-100,92.0,6551,93.38,53,Very Positive,236
1256670,Library Of Ruina,90-100,96.0,7142,90.34,56,Overwhelmingly Positive,237
322170,Geometry Dash,90-100,93.0,6878,88.78,63,Very Positive,238
568220,Lobotomy Corporation | Monster Management Simulation,90-100,93.0,9524,89.71,67,Very Positive,239
1336490,Against the Storm,90-100,95.0,1590,94.91,71,Overwhelmingly Positive,240
594570,Total War: WARHAMMER II,90-100,93.0,3500,94.69,76,Very Positive,241
1086940,Baldur's Gate 3,90-100,96.0,16268,97.13,78,Overwhelmingly Positive,242
457140,Oxygen Not Included,90-100,95.0,4759,95.59,79,Overwhelmingly Positive,243
240,Counter-Strike: Source,90-100,96.0,1728,91.03,80,Overwhelmingly Positive,244
2835570,Buckshot Roulette,90-100,96.0,2137,94.29,80,Overwhelmingly Positive,245
1454400,Cookie Clicker,90-100,96.0,609,95.73,83,Overwhelmingly Positive,246
636480,Ravenfield,90-100,97.0,975,96.31,84,Overwhelmingly Positive,247
2161700,Persona 3 Reload,90-100,96.0,1860,93.6,84,Overwhelmingly Positive,248
2212330,Your Only Move Is HUSTLE,90-100,96.0,134,96.27,85,Overwhelmingly Positive,249
1455840,Dorfromantik,90-100,96.0,329,90.58,88,Overwhelmingly Positive,250
1127500,Mini Motorways,90-100,96.0,930,96.13,89,Overwhelmingly Positive,251
518790,theHunter: Call of the Wild™,90-100,90.0,2659,84.66,90,Very Positive,252
703080,Planet Zoo,90-100,91.0,1596,84.15,92,Very Positive,253
1313140,Cult of the Lamb,90-100,96.0,2615,93.31,94,Overwhelmingly Positive,254
3164500,Schedule I,90-100,97.0,508,94.29,95,Overwhelmingly Positive,255
960090,Bloons TD 6,90-100,97.0,1851,95.52,108,Overwhelmingly Positive,256
323190,Frostpunk,90-100,92.0,5186,94.56,110,Very Positive,257
1062090,Timberborn,90-100,96.0,762,94.62,114,Overwhelmingly Positive,258
262060,Darkest Dungeon®,90-100,90.0,9198,85.77,115,Very Positive,259
2679460,Metaphor: ReFantazio,90-100,92.0,1520,91.05,124,Very Positive,260
435150,Divinity: Original Sin 2 - Definitive Edition,90-100,95.0,4007,94.91,125,Overwhelmingly Positive,261
508440,Totally Accurate Battle Simulator,90-100,98.0,3034,95.85,131,Overwhelmingly Positive,262
8930,Sid Meier's Civilization® V,90-100,95.0,8880,95.7,135,Overwhelmingly Positive,263
346010,Besiege,90-100,95.0,1462,93.37,165,Overwhelmingly Positive,264
4700,Total War: MEDIEVAL II – Definitive Edition,90-100,95.0,307,93.16,169,Overwhelmingly Positive,265
220200,Kerbal Space Program,90-100,96.0,1073,95.62,171,Overwhelmingly Positive,266
602960,Barotrauma,90-100,95.0,539,87.94,185,Overwhelmingly Positive,267
201270,Total War: SHOGUN 2,90-100,92.0,1427,91.38,193,Very Positive,268
107410,Arma 3,90-100,91.0,2893,81.23,196,Very Positive,269
1092790,Inscryption,90-100,96.0,3617,94.42,216,Overwhelmingly Positive,270
10180,Call of Duty®: Modern Warfare® 2 (2009),90-100,91.0,730,95.62,230,Very Positive,271
208650,Batman™: Arkham Knight,90-100,92.0,2200,77.91,237,Very Positive,272
1244460,Jurassic World Evolution 2,90-100,90.0,1046,84.23,248,Very Positive,273
282070,This War of Mine,90-100,92.0,3936,95.2,358,Very Positive,274
674940,Stick Fight: The Game,90-100,94.0,858,91.03,377,Very Positive,275
332800,Five Nights at Freddy's 2,90-100,93.0,388,93.04,393,Very Positive,276
589290,Holdfast: Nations At War,90-100,90.0,289,84.08,443,Very Positive,277
645630,Car Mechanic Simulator 2018,90-100,90.0,321,83.49,453,Very Positive,278
10,Counter-Strike,90-100,96.0,538,93.12,468,Overwhelmingly Positive,279
787860,Farming Simulator 19,90-100,93.0,290,84.48,578,Very Positive,280
871720,Ultimate Custom Night,90-100,94.0,300,90.33,579,Very Positive,281
1213210,Command & Conquer™ Remastered Collection,90-100,91.0,493,88.44,579,Very Positive,282
212680,FTL: Faster Than Light,90-100,95.0,1721,94.42,580,Overwhelmingly Positive,283
975370,Dwarf Fortress,90-100,94.0,104,94.23,586,Very Positive,284
326460,ShellShock Live,90-100,93.0,129,93.8,608,Very Positive,285
200510,XCOM: Enemy Unknown,90-100,92.0,1600,94.88,609,Very Positive,286
1139900,Ghostrunner,90-100,91.0,1228,85.75,635,Very Positive,287
203770,Crusader Kings II,90-100,91.0,1054,91.37,652,Very Positive,288
244450,Men of War: Assault Squad 2,90-100,91.0,233,84.55,796,Very Positive,289
738060,Freddy Fazbear's Pizzeria Simulator,90-100,93.0,201,87.56,815,Very Positive,290
569480,Kingdoms and Castles,90-100,93.0,407,86.73,816,Very Positive,291
237930,Transistor,90-100,93.0,694,90.06,818,Very Positive,292
242920,Banished,90-100,90.0,621,90.98,975,Very Positive,293
312660,Sniper Elite 4,90-100,91.0,923,88.19,990,Very Positive,294
2551020,One-armed robber,90-100,90.0,409,91.2,1067,Very Positive,295
700330,SCP: Secret Laboratory,90-100,92.0,5834,84.32,1286,Very Positive,296
677620,Splitgate,90-100,91.0,237,86.08,1288,Very Positive,297
222880,Insurgency,90-100,92.0,2404,90.1,1289,Very Positive,298
493340,Planet Coaster,90-100,90.0,2065,90.07,1291,Very Positive,299
1714040,Super Auto Pets,90-100,91.0,433,85.22,1376,Very Positive,300
