appid,name,overall_rating_bin,steam_score_desc,steam_score_desc_ko,overall_positive_review_percent,korean_reviews,korean_positive_percent,search_rank,review_score_desc,priority
1611910,"Warhammer 40,000: Chaos Gate - Daemonhunters",Mostly Positive,Mostly Positive,대체로 긍정적,76.79,247,80.97,183,Mostly Positive,56
1809700,Persona 3 Portable,Very Positive,Very Positive,매우 긍정적,80.61,238,81.09,310,Very Positive,57
718670,Cultist Simulator,Mostly Positive,Mostly Positive,대체로 긍정적,79.93,231,81.39,567,Mostly Positive,58
1361000,In Silence,Mostly Positive,Mostly Positive,대체로 긍정적,74.61,228,71.49,713,Mostly Positive,59
2688950,Planet Coaster 2,Mostly Positive,Mostly Positive,대체로 긍정적,72.84,215,65.58,135,Mostly Positive,60
1426450,Age of Darkness: Final Stand,Mostly Positive,Mostly Positive,대체로 긍정적,74.79,215,67.91,704,Mostly Positive,61
359550,Tom Clancy's Rainbow Six Siege,Very Positive,Very Positive,매우 긍정적,82.39,52584,79.67,8,Very Positive,62
1049590,Eternal Return,Mostly Positive,Mostly Positive,대체로 긍정적,76.27,35289,75.05,6,Mostly Positive,63
730,Counter-Strike 2,Very Positive,Very Positive,매우 긍정적,86.12,25699,80.17,1,Very Positive,64
1973530,Limbus Company,Very Positive,Very Positive,매우 긍정적,87.75,17332,83.8,5,Very Positive,65
289070,Sid Meier’s Civilization® VI,Very Positive,Very Positive,매우 긍정적,86.04,12309,89.42,47,Very Positive,66
648800,Raft,Very Positive,Very Positive,매우 긍정적,93.04,10557,90.68,19,Very Positive,67
568220,Lobotomy Corporation | Monster Management Simulation,Very Positive,Very Positive,매우 긍정적,94.21,9526,89.71,75,Very Positive,68
262060,Darkest Dungeon®,Very Positive,Very Positive,매우 긍정적,91.68,9199,85.77,114,Very Positive,69
218620,PAYDAY 2,Very Positive,Very Positive,매우 긍정적,89.32,8578,80.4,68,Very Positive,70
394360,Hearts of Iron IV,Very Positive,Very Positive,매우 긍정적,90.2,7426,88.39,20,Very Positive,71
322170,Geometry Dash,Very Positive,Very Positive,매우 긍정적,93.06,6885,88.76,73,Very Positive,72
255710,Cities: Skylines,Very Positive,Very Positive,매우 긍정적,92.88,6552,93.38,56,Very Positive,73
779340,Total War: THREE KINGDOMS,Very Positive,Very Positive,매우 긍정적,82.21,5991,88.25,89,Very Positive,74
323190,Frostpunk,Very Positive,Very Positive,매우 긍정적,92.72,5187,94.56,116,Very Positive,75
570,Dota 2,Very Positive,Very Positive,매우 긍정적,80.77,5169,76.09,22,Very Positive,76
261550,Mount & Blade II: Bannerlord,Very Positive,Very Positive,매우 긍정적,87.7,4877,82.84,25,Very Positive,77
728880,Overcooked! 2,Very Positive,Very Positive,매우 긍정적,90.46,4718,95.21,30,Very Positive,78
1568590,Goose Goose Duck,Very Positive,Very Positive,매우 긍정적,86.55,4125,90.55,117,Very Positive,79
268500,XCOM® 2,Very Positive,Very Positive,매우 긍정적,84.57,4048,87.85,230,Very Positive,80
2868840,Slay the Spire 2,Mixed,Mixed,복합적,63.18,4009,87.8,4,Mixed,81
282070,This War of Mine,Very Positive,Very Positive,매우 긍정적,93.86,3935,95.2,259,Very Positive,82
240720,Getting Over It with Bennett Foddy,Very Positive,Very Positive,매우 긍정적,82.31,3905,75.16,246,Very Positive,83
251570,7 Days to Die,Very Positive,Very Positive,매우 긍정적,87.12,3865,86.18,48,Very Positive,84
305620,The Long Dark,Very Positive,Very Positive,매우 긍정적,89.01,3849,87.53,226,Very Positive,85
1158310,Crusader Kings III,Very Positive,Very Positive,매우 긍정적,90.46,3691,93.04,17,Very Positive,86
594570,Total War: WARHAMMER II,Very Positive,Very Positive,매우 긍정적,93.0,3500,94.69,79,Very Positive,87
107410,Arma 3,Very Positive,Very Positive,매우 긍정적,90.41,2893,81.23,212,Very Positive,88
518790,theHunter: Call of the Wild™,Very Positive,Very Positive,매우 긍정적,89.09,2659,84.66,66,Very Positive,89
460930,Tom Clancy's Ghost Recon® Wildlands,Mostly Positive,Mostly Positive,대체로 긍정적,79.65,2427,74.7,304,Mostly Positive,90
527230,For The King,Very Positive,Very Positive,매우 긍정적,87.82,2311,91.95,189,Very Positive,91
281990,Stellaris,Very Positive,Very Positive,매우 긍정적,85.93,2301,89.09,35,Very Positive,92
231430,Company of Heroes 2,Mostly Positive,Mostly Positive,대체로 긍정적,79.04,2255,75.48,313,Mostly Positive,93
208650,Batman™: Arkham Knight,Very Positive,Very Positive,매우 긍정적,89.53,2200,77.91,313,Very Positive,94
493340,Planet Coaster,Very Positive,Very Positive,매우 긍정적,91.36,2065,90.07,351,Very Positive,95
644930,They Are Billions,Very Positive,Very Positive,매우 긍정적,85.19,1957,83.9,210,Very Positive,96
1527950,Wartales,Very Positive,Very Positive,매우 긍정적,86.26,1857,91.28,43,Very Positive,97
356190,Middle-earth™: Shadow of War™,Very Positive,Very Positive,매우 긍정적,88.88,1798,74.25,225,Very Positive,98
1238860,Battlefield 4™,Very Positive,Very Positive,매우 긍정적,84.89,1620,70.93,427,Very Positive,99
200510,XCOM: Enemy Unknown,Very Positive,Very Positive,매우 긍정적,93.19,1600,94.88,772,Very Positive,100
703080,Planet Zoo,Very Positive,Very Positive,매우 긍정적,91.13,1596,84.15,61,Very Positive,101
236850,Europa Universalis IV,Very Positive,Very Positive,매우 긍정적,87.62,1542,87.29,139,Very Positive,102
2679460,Metaphor: ReFantazio,Very Positive,Very Positive,매우 긍정적,89.81,1521,91.06,169,Very Positive,103
3314790,CloverPit,Very Positive,Very Positive,매우 긍정적,90.29,1519,88.02,34,Very Positive,104
201270,Total War: SHOGUN 2,Very Positive,Very Positive,매우 긍정적,91.78,1427,91.38,159,Very Positive,105
601510,Yu-Gi-Oh! Duel Links,Very Positive,Very Positive,매우 긍정적,82.94,1366,74.6,106,Very Positive,106
429050,Feed and Grow: Fish,Mostly Positive,Mostly Positive,대체로 긍정적,78.11,1346,76.3,129,Mostly Positive,107
1139900,Ghostrunner,Very Positive,Very Positive,매우 긍정적,91.25,1228,85.75,627,Very Positive,108
1466860,Age of Empires IV: Anniversary Edition,Very Positive,Very Positive,매우 긍정적,85.73,1221,85.75,21,Very Positive,109
648350,Jurassic World Evolution,Very Positive,Very Positive,매우 긍정적,87.4,1215,81.56,443,Very Positive,110
233450,Prison Architect,Very Positive,Very Positive,매우 긍정적,89.27,1197,86.97,348,Very Positive,111
393380,Squad,Very Positive,Very Positive,매우 긍정적,81.18,1117,75.65,178,Very Positive,112
1363080,Manor Lords,Very Positive,Very Positive,매우 긍정적,84.34,1109,73.58,72,Very Positive,113
246620,Plague Inc: Evolved,Very Positive,Very Positive,매우 긍정적,94.26,1063,92.47,78,Very Positive,114
203770,Crusader Kings II,Very Positive,Very Positive,매우 긍정적,90.55,1054,91.37,563,Very Positive,115
1244460,Jurassic World Evolution 2,Very Positive,Very Positive,매우 긍정적,90.32,1047,84.15,299,Very Positive,116
364360,Total War: WARHAMMER,Mostly Positive,Mostly Positive,대체로 긍정적,78.49,1023,86.41,107,Mostly Positive,117
686810,Hell Let Loose,Very Positive,Very Positive,매우 긍정적,81.82,1008,73.51,100,Very Positive,118
371660,Far Cry® Primal,Very Positive,Very Positive,매우 긍정적,86.26,872,75.8,548,Very Positive,119
466560,Northgard: Definitive Edition,Very Positive,Very Positive,매우 긍정적,85.31,867,76.82,278,Very Positive,120
674940,Stick Fight: The Game,Very Positive,Very Positive,매우 긍정적,93.49,858,91.03,414,Very Positive,121
365360,Battle Brothers,Very Positive,Very Positive,매우 긍정적,88.04,812,91.13,153,Very Positive,122
218230,PlanetSide 2,Very Positive,Very Positive,매우 긍정적,80.53,802,76.43,675,Very Positive,123
214950,Total War: ROME II - Emperor Edition,Very Positive,Very Positive,매우 긍정적,87.48,762,89.9,206,Very Positive,124
10180,Call of Duty®: Modern Warfare® 2 (2009),Very Positive,Very Positive,매우 긍정적,93.31,730,95.62,150,Very Positive,125
325610,Total War: ATTILA,Very Positive,Very Positive,매우 긍정적,82.39,679,86.3,301,Very Positive,126
47890,The Sims™ 3,Very Positive,Very Positive,매우 긍정적,86.25,665,82.86,172,Very Positive,127
203140,Hitman: Absolution™,Very Positive,Very Positive,매우 긍정적,93.15,661,86.23,769,Very Positive,128
933110,Age of Empires III: Definitive Edition,Very Positive,Very Positive,매우 긍정적,85.54,623,72.71,161,Very Positive,129
3097560,Liar's Bar,Very Positive,Very Positive,매우 긍정적,89.81,588,89.29,52,Very Positive,130
588430,Fallout Shelter,Very Positive,Very Positive,매우 긍정적,87.89,569,82.6,464,Very Positive,131
535930,Two Point Hospital,Very Positive,Very Positive,매우 긍정적,91.96,565,90.8,357,Very Positive,132
223750,DCS World Steam Edition,Very Positive,Very Positive,매우 긍정적,85.02,550,90.73,125,Very Positive,133
244850,Space Engineers,Very Positive,Very Positive,매우 긍정적,88.89,528,85.61,302,Very Positive,134
373420,Divinity: Original Sin - Enhanced Edition,Very Positive,Very Positive,매우 긍정적,89.38,495,87.27,363,Very Positive,135
1213210,Command & Conquer™ Remastered Collection,Very Positive,Very Positive,매우 긍정적,90.68,493,88.44,735,Very Positive,136
16900,GROUND BRANCH,Very Positive,Very Positive,매우 긍정적,88.52,479,83.3,607,Very Positive,137
590380,Into the Breach,Very Positive,Very Positive,매우 긍정적,94.25,461,95.44,796,Very Positive,138
332800,Five Nights at Freddy's 2,Very Positive,Very Positive,매우 긍정적,93.68,389,93.06,405,Very Positive,139
1184370,Pathfinder: Wrath of the Righteous - Enhanced Edition,Very Positive,Very Positive,매우 긍정적,83.6,361,83.93,220,Very Positive,140
645630,Car Mechanic Simulator 2018,Very Positive,Very Positive,매우 긍정적,90.95,321,83.49,475,Very Positive,141
633230,NARUTO TO BORUTO: SHINOBI STRIKER,Very Positive,Very Positive,매우 긍정적,83.74,316,61.39,528,Very Positive,142
871720,Ultimate Custom Night,Very Positive,Very Positive,매우 긍정적,94.8,300,90.33,576,Very Positive,143
787860,Farming Simulator 19,Very Positive,Very Positive,매우 긍정적,94.45,290,84.48,575,Very Positive,144
589290,Holdfast: Nations At War,Very Positive,Very Positive,매우 긍정적,89.89,289,84.08,315,Very Positive,145
10500,Total War: EMPIRE – Definitive Edition,Very Positive,Very Positive,매우 긍정적,90.69,266,86.09,547,Very Positive,146
427730,Who's Your Daddy?!,Very Positive,Very Positive,매우 긍정적,80.0,240,67.08,428,Very Positive,147
637090,BATTLETECH,Very Positive,Very Positive,매우 긍정적,83.91,202,74.75,572,Very Positive,148
1086940,Baldur's Gate 3,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.8,16272,97.13,14,Overwhelmingly Positive,149
322330,Don't Starve Together,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.02,12830,93.41,28,Overwhelmingly Positive,150
646570,Slay the Spire,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.57,10096,98.2,33,Overwhelmingly Positive,151
8930,Sid Meier's Civilization® V,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.59,8881,95.7,99,Overwhelmingly Positive,152
294100,RimWorld,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.88,8060,98.09,9,Overwhelmingly Positive,153
1256670,Library Of Ruina,Very Positive,Very Positive,매우 긍정적,94.45,7146,90.34,70,Very Positive,154
457140,Oxygen Not Included,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.78,4759,95.59,69,Overwhelmingly Positive,155
427520,Factorio,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.51,4050,98.35,27,Overwhelmingly Positive,156
435150,Divinity: Original Sin 2 - Definitive Edition,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.68,4007,94.91,158,Overwhelmingly Positive,157
526870,Satisfactory,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.25,3909,96.75,30,Overwhelmingly Positive,158
1092790,Inscryption,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.85,3618,94.42,82,Overwhelmingly Positive,159
508440,Totally Accurate Battle Simulator,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.82,3035,95.85,144,Overwhelmingly Positive,160
1313140,Cult of the Lamb,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.86,2615,93.31,92,Overwhelmingly Positive,161
286160,Tabletop Simulator,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.94,2562,95.12,41,Overwhelmingly Positive,162
1113000,Persona 4 Golden,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.03,2485,95.53,41,Overwhelmingly Positive,163
48700,Mount & Blade: Warband,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.72,2370,97.09,347,Overwhelmingly Positive,164
2379780,Balatro,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.87,2339,97.56,35,Overwhelmingly Positive,165
736260,Baba Is You,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.74,2280,98.11,45,Overwhelmingly Positive,166
1948280,Stacklands,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.09,2198,95.86,87,Overwhelmingly Positive,167
2835570,Buckshot Roulette,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.31,2137,94.29,90,Overwhelmingly Positive,168
813780,Age of Empires II: Definitive Edition,Very Positive,Very Positive,매우 긍정적,94.96,2074,89.2,18,Very Positive,169
2161700,Persona 3 Reload,Very Positive,Very Positive,매우 긍정적,94.39,1862,93.56,54,Very Positive,170
960090,Bloons TD 6,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.2,1851,95.52,28,Overwhelmingly Positive,171
239030,"Papers, Please",Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.3,1812,95.2,40,Overwhelmingly Positive,172
240,Counter-Strike: Source,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.29,1727,91.02,80,Overwhelmingly Positive,173
212680,FTL: Faster Than Light,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.13,1722,94.43,573,Overwhelmingly Positive,174
1336490,Against the Storm,Very Positive,Very Positive,매우 긍정적,94.63,1591,94.91,81,Very Positive,175
346010,Besiege,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.21,1462,93.37,164,Overwhelmingly Positive,176
2592160,Dispatch,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,97.6,1132,96.2,12,Overwhelmingly Positive,177
220200,Kerbal Space Program,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,95.5,1073,95.62,161,Overwhelmingly Positive,178
610370,Desperados III,Overwhelmingly Positive,Overwhelmingly Positive,압도적으로 긍정적,96.51,1054,97.34,97,Overwhelmingly Positive,179
