game_name,total_review_count,최적화#프레임_negative_count,최적화#프레임_mention_count,최적화#프레임_negative_ratio_all_reviews,최적화#조작감_negative_count,최적화#조작감_mention_count,최적화#조작감_negative_ratio_all_reviews,시스템#버그_negative_count,시스템#버그_mention_count,시스템#버그_negative_ratio_all_reviews,콘텐츠#볼륨_negative_count,콘텐츠#볼륨_mention_count,콘텐츠#볼륨_negative_ratio_all_reviews,콘텐츠#몰입도_negative_count,콘텐츠#몰입도_mention_count,콘텐츠#몰입도_negative_ratio_all_reviews,시스템#밸런스_negative_count,시스템#밸런스_mention_count,시스템#밸런스_negative_ratio_all_reviews,시스템#독창성_negative_count,시스템#독창성_mention_count,시스템#독창성_negative_ratio_all_reviews,시스템#자유도_negative_count,시스템#자유도_mention_count,시스템#자유도_negative_ratio_all_reviews,UX#그래픽_negative_count,UX#그래픽_mention_count,UX#그래픽_negative_ratio_all_reviews,UX#캐릭터디자인_negative_count,UX#캐릭터디자인_mention_count,UX#캐릭터디자인_negative_ratio_all_reviews,UX#사운드_negative_count,UX#사운드_mention_count,UX#사운드_negative_ratio_all_reviews,스토리#내러티브_negative_count,스토리#내러티브_mention_count,스토리#내러티브_negative_ratio_all_reviews,운영#핵/치트_negative_count,운영#핵/치트_mention_count,운영#핵/치트_negative_ratio_all_reviews,운영#업데이트_negative_count,운영#업데이트_mention_count,운영#업데이트_negative_ratio_all_reviews,콘텐츠#난이도_negative_count,콘텐츠#난이도_mention_count,콘텐츠#난이도_negative_ratio_all_reviews,시스템#진입장벽_negative_count,시스템#진입장벽_mention_count,시스템#진입장벽_negative_ratio_all_reviews,콘텐츠#피로도_negative_count,콘텐츠#피로도_mention_count,콘텐츠#피로도_negative_ratio_all_reviews
Baba Is You,100,3,3,0.03,1,3,0.01,4,4,0.04,2,13,0.02,2,59,0.02,7,7,0.07,1,13,0.01,2,14,0.02,0,5,0.0,0,5,0.0,1,2,0.01,2,6,0.02,0,0,0.0,4,6,0.04,14,24,0.14,17,19,0.17,18,18,0.18
Balatro,100,1,3,0.01,2,5,0.02,1,1,0.01,1,11,0.01,1,83,0.01,12,16,0.12,4,20,0.04,3,15,0.03,1,14,0.01,1,7,0.01,2,4,0.02,1,3,0.01,5,5,0.05,7,15,0.07,7,12,0.07,14,19,0.14,6,7,0.06
Baldur's Gate 3,100,1,2,0.01,1,2,0.01,3,3,0.03,6,22,0.06,4,66,0.04,5,5,0.05,1,13,0.01,2,14,0.02,0,10,0.0,0,6,0.0,1,4,0.01,4,12,0.04,0,0,0.0,2,4,0.02,7,10,0.07,6,8,0.06,6,6,0.06
Barotrauma,100,5,7,0.05,5,7,0.05,10,10,0.1,2,21,0.02,0,70,0.0,26,26,0.26,4,22,0.04,4,26,0.04,2,15,0.02,2,9,0.02,1,5,0.01,3,17,0.03,3,4,0.03,4,13,0.04,24,28,0.24,22,25,0.22,22,22,0.22
Batman™: Arkham Knight,100,8,11,0.08,4,10,0.04,11,13,0.11,5,17,0.05,2,66,0.02,15,15,0.15,5,23,0.05,6,22,0.06,3,23,0.03,7,18,0.07,4,16,0.04,5,20,0.05,3,3,0.03,9,11,0.09,16,18,0.16,11,13,0.11,16,16,0.16
Battle Brothers,100,11,14,0.11,3,17,0.03,12,12,0.12,9,36,0.09,3,71,0.03,25,25,0.25,8,30,0.08,5,25,0.05,2,20,0.02,6,12,0.06,3,15,0.03,6,15,0.06,3,4,0.03,17,27,0.17,21,28,0.21,25,29,0.25,18,19,0.18
Battlefield 4™,100,16,21,0.16,1,9,0.01,20,22,0.2,4,19,0.04,6,67,0.06,21,23,0.21,2,19,0.02,1,17,0.01,1,11,0.01,0,3,0.0,0,6,0.0,3,12,0.03,5,5,0.05,10,25,0.1,14,15,0.14,19,20,0.19,10,11,0.1
Bellwright,100,14,17,0.14,8,15,0.08,18,19,0.18,11,35,0.11,10,79,0.1,28,29,0.28,5,25,0.05,13,42,0.13,10,25,0.1,13,19,0.13,7,12,0.07,10,22,0.1,7,7,0.07,16,23,0.16,16,20,0.16,22,24,0.22,34,34,0.34
Besiege,100,5,6,0.05,4,6,0.04,11,11,0.11,1,6,0.01,4,54,0.04,14,17,0.14,3,15,0.03,2,19,0.02,3,10,0.03,2,8,0.02,3,5,0.03,3,7,0.03,0,0,0.0,3,3,0.03,14,18,0.14,11,13,0.11,12,12,0.12
Black Squad,100,8,8,0.08,3,8,0.03,10,10,0.1,4,12,0.04,5,43,0.05,15,16,0.15,2,12,0.02,1,10,0.01,1,11,0.01,1,4,0.01,2,7,0.02,1,5,0.01,9,9,0.09,14,17,0.14,12,15,0.12,9,11,0.09,7,7,0.07
Bloons TD 6,100,0,1,0.0,0,1,0.0,5,5,0.05,4,13,0.04,1,61,0.01,12,12,0.12,2,8,0.02,3,13,0.03,2,4,0.02,2,5,0.02,0,0,0.0,0,3,0.0,4,4,0.04,7,10,0.07,9,12,0.09,7,9,0.07,13,13,0.13
Broken Arrow,100,20,22,0.2,4,8,0.04,24,25,0.24,6,19,0.06,5,62,0.05,50,50,0.5,9,30,0.09,7,23,0.07,2,13,0.02,5,9,0.05,3,8,0.03,2,13,0.02,16,17,0.16,42,50,0.42,26,27,0.26,33,33,0.33,18,18,0.18
Buckshot Roulette,100,0,1,0.0,1,1,0.01,5,5,0.05,3,10,0.03,2,48,0.02,26,28,0.26,3,6,0.03,3,8,0.03,2,3,0.02,4,4,0.04,0,1,0.0,2,3,0.02,1,1,0.01,13,15,0.13,16,19,0.16,12,12,0.12,6,7,0.06
Call of Duty®: Modern Warfare® 2 (2009),100,3,4,0.03,2,5,0.02,5,5,0.05,1,9,0.01,1,62,0.01,6,6,0.06,2,29,0.02,0,13,0.0,2,21,0.02,3,13,0.03,2,9,0.02,2,21,0.02,0,0,0.0,5,7,0.05,6,7,0.06,7,9,0.07,3,3,0.03
Car Mechanic Simulator 2018,100,5,9,0.05,2,5,0.02,4,4,0.04,0,9,0.0,4,58,0.04,6,6,0.06,4,16,0.04,1,13,0.01,1,9,0.01,0,3,0.0,1,2,0.01,0,4,0.0,1,1,0.01,3,8,0.03,15,18,0.15,12,15,0.12,13,14,0.13
Cities: Skylines,100,11,12,0.11,2,3,0.02,13,14,0.13,5,17,0.05,4,63,0.04,9,9,0.09,2,15,0.02,3,14,0.03,1,6,0.01,3,7,0.03,0,2,0.0,2,4,0.02,4,4,0.04,16,18,0.16,8,8,0.08,11,12,0.11,12,12,0.12
Cities: Skylines II,100,30,32,0.3,12,15,0.12,18,18,0.18,5,17,0.05,4,58,0.04,8,9,0.08,1,11,0.01,4,17,0.04,4,10,0.04,2,2,0.02,3,5,0.03,1,4,0.01,0,0,0.0,8,19,0.08,8,9,0.08,10,11,0.1,5,5,0.05
CloverPit,100,12,12,0.12,4,6,0.04,20,20,0.2,7,20,0.07,7,59,0.07,22,22,0.22,14,24,0.14,9,22,0.09,3,8,0.03,3,7,0.03,5,7,0.05,5,14,0.05,1,1,0.01,22,25,0.22,10,11,0.1,12,12,0.12,17,17,0.17
Command & Conquer™ Remastered Collection,100,9,12,0.09,4,15,0.04,14,14,0.14,7,23,0.07,0,67,0.0,21,21,0.21,6,32,0.06,11,22,0.11,3,25,0.03,4,12,0.04,2,13,0.02,5,14,0.05,5,5,0.05,20,27,0.2,19,19,0.19,14,15,0.14,10,10,0.1
Company of Heroes 2,100,5,8,0.05,1,3,0.01,8,8,0.08,2,12,0.02,6,53,0.06,22,23,0.22,6,25,0.06,1,12,0.01,1,8,0.01,2,5,0.02,0,3,0.0,0,2,0.0,4,4,0.04,12,17,0.12,16,17,0.16,15,16,0.15,7,7,0.07
Company of Heroes 3,100,10,11,0.1,5,9,0.05,13,13,0.13,8,17,0.08,9,62,0.09,33,33,0.33,8,29,0.08,4,15,0.04,3,16,0.03,5,15,0.05,3,7,0.03,3,11,0.03,11,11,0.11,32,42,0.32,12,13,0.12,18,18,0.18,7,7,0.07
Conqueror's Blade,100,5,5,0.05,2,2,0.02,6,6,0.06,2,4,0.02,7,58,0.07,27,28,0.27,7,15,0.07,5,9,0.05,2,3,0.02,1,2,0.01,1,1,0.01,0,0,0.0,8,8,0.08,19,19,0.19,19,19,0.19,16,17,0.16,9,9,0.09
Cookie Clicker,100,2,2,0.02,2,4,0.02,6,6,0.06,2,22,0.02,1,62,0.01,13,13,0.13,1,13,0.01,2,19,0.02,1,11,0.01,2,9,0.02,1,4,0.01,0,8,0.0,1,1,0.01,5,7,0.05,16,18,0.16,14,15,0.14,21,22,0.21
Counter-Strike,100,4,5,0.04,2,3,0.02,3,3,0.03,0,4,0.0,0,43,0.0,3,3,0.03,2,13,0.02,0,6,0.0,2,6,0.02,1,2,0.01,0,0,0.0,0,1,0.0,0,0,0.0,5,7,0.05,2,2,0.02,4,5,0.04,1,1,0.01
Counter-Strike 2,100,1,1,0.01,0,1,0.0,2,2,0.02,0,1,0.0,2,31,0.02,7,7,0.07,1,6,0.01,1,5,0.01,1,2,0.01,1,1,0.01,0,1,0.0,0,3,0.0,17,18,0.17,2,5,0.02,2,2,0.02,3,4,0.03,4,4,0.04
Counter-Strike: Source,100,1,4,0.01,1,3,0.01,3,3,0.03,0,10,0.0,2,51,0.02,6,9,0.06,0,9,0.0,0,9,0.0,2,5,0.02,2,5,0.02,0,2,0.0,0,1,0.0,4,4,0.04,4,13,0.04,1,2,0.01,7,8,0.07,3,3,0.03
Crusader Kings II,100,1,1,0.01,2,2,0.02,0,0,0.0,2,18,0.02,0,58,0.0,10,11,0.1,2,16,0.02,3,11,0.03,2,8,0.02,2,7,0.02,1,1,0.01,0,8,0.0,1,1,0.01,4,8,0.04,11,13,0.11,11,12,0.11,7,7,0.07
Crusader Kings III,100,8,10,0.08,4,7,0.04,8,8,0.08,7,28,0.07,0,60,0.0,18,18,0.18,6,29,0.06,6,22,0.06,7,13,0.07,4,8,0.04,4,6,0.04,5,14,0.05,4,4,0.04,12,21,0.12,24,25,0.24,27,28,0.27,16,16,0.16
Cult of the Lamb,100,4,5,0.04,3,5,0.03,7,7,0.07,7,26,0.07,3,63,0.03,14,16,0.14,4,17,0.04,6,33,0.06,5,18,0.05,4,18,0.04,2,2,0.02,2,9,0.02,1,1,0.01,7,14,0.07,12,22,0.12,15,19,0.15,21,23,0.21
Cultist Simulator,100,2,3,0.02,2,4,0.02,8,8,0.08,7,30,0.07,0,64,0.0,18,19,0.18,5,18,0.05,4,25,0.04,1,10,0.01,4,5,0.04,2,6,0.02,7,20,0.07,7,7,0.07,10,13,0.1,23,30,0.23,32,32,0.32,29,29,0.29
DCS World Steam Edition,100,7,8,0.07,1,3,0.01,12,12,0.12,5,15,0.05,2,56,0.02,9,9,0.09,2,10,0.02,2,12,0.02,0,9,0.0,1,2,0.01,1,3,0.01,1,1,0.01,4,4,0.04,12,16,0.12,19,22,0.19,25,29,0.25,10,11,0.1
DYNASTY WARRIORS 9 Empires,100,10,11,0.1,6,11,0.06,10,10,0.1,9,19,0.09,11,68,0.11,30,31,0.3,10,29,0.1,9,23,0.09,9,17,0.09,10,11,0.1,7,9,0.07,5,8,0.05,7,7,0.07,19,24,0.19,14,17,0.14,20,22,0.2,15,15,0.15
Darkest Dungeon®,100,2,3,0.02,2,4,0.02,2,2,0.02,2,9,0.02,3,63,0.03,12,12,0.12,2,9,0.02,2,13,0.02,2,7,0.02,1,4,0.01,0,1,0.0,2,8,0.02,1,1,0.01,1,5,0.01,19,24,0.19,13,13,0.13,22,23,0.22
Dead by Daylight,100,12,12,0.12,3,4,0.03,13,13,0.13,5,13,0.05,7,50,0.07,29,29,0.29,4,11,0.04,5,14,0.05,0,0,0.0,0,1,0.0,1,1,0.01,2,6,0.02,10,10,0.1,15,18,0.15,19,20,0.19,25,25,0.25,17,18,0.17
Desperados III,100,3,3,0.03,1,5,0.01,5,5,0.05,6,27,0.06,2,82,0.02,21,22,0.21,5,26,0.05,4,30,0.04,1,18,0.01,2,12,0.02,2,5,0.02,3,16,0.03,1,1,0.01,13,21,0.13,24,30,0.24,22,24,0.22,18,19,0.18
Dispatch,100,3,6,0.03,0,5,0.0,4,5,0.04,8,23,0.08,0,76,0.0,18,19,0.18,4,23,0.04,6,23,0.06,2,24,0.02,7,19,0.07,1,8,0.01,4,24,0.04,3,4,0.03,5,14,0.05,11,16,0.11,11,15,0.11,15,15,0.15
Divinity: Original Sin - Enhanced Edition,100,19,20,0.19,6,11,0.06,20,20,0.2,6,28,0.06,6,72,0.06,23,23,0.23,4,26,0.04,9,32,0.09,2,13,0.02,3,3,0.03,4,6,0.04,8,25,0.08,6,6,0.06,14,19,0.14,24,28,0.24,36,36,0.36,27,27,0.27
Divinity: Original Sin 2 - Definitive Edition,100,3,4,0.03,1,7,0.01,3,3,0.03,4,26,0.04,2,76,0.02,8,9,0.08,6,18,0.06,3,20,0.03,1,10,0.01,1,5,0.01,1,7,0.01,4,16,0.04,3,3,0.03,3,7,0.03,9,19,0.09,15,18,0.15,12,13,0.12
Don't Starve Together,100,3,4,0.03,0,2,0.0,4,4,0.04,3,14,0.03,1,63,0.01,9,10,0.09,1,9,0.01,0,10,0.0,0,8,0.0,0,5,0.0,0,3,0.0,1,8,0.01,1,1,0.01,3,9,0.03,19,23,0.19,17,19,0.17,18,19,0.18
Door Kickers 2: Task Force North,100,4,5,0.04,7,9,0.07,7,7,0.07,2,15,0.02,1,66,0.01,13,15,0.13,0,17,0.0,4,21,0.04,3,8,0.03,1,4,0.01,5,6,0.05,0,6,0.0,2,2,0.02,5,10,0.05,15,18,0.15,17,20,0.17,8,8,0.08
Dorfromantik,100,5,6,0.05,3,9,0.03,4,4,0.04,6,23,0.06,4,82,0.04,15,15,0.15,5,30,0.05,3,26,0.03,8,25,0.08,7,15,0.07,2,7,0.02,3,13,0.03,2,2,0.02,10,15,0.1,18,26,0.18,21,26,0.21,20,21,0.2
