game_name,total_review_count,최적화#프레임_negative_count,최적화#프레임_mention_count,최적화#프레임_negative_ratio_all_reviews,최적화#조작감_negative_count,최적화#조작감_mention_count,최적화#조작감_negative_ratio_all_reviews,시스템#버그_negative_count,시스템#버그_mention_count,시스템#버그_negative_ratio_all_reviews,콘텐츠#볼륨_negative_count,콘텐츠#볼륨_mention_count,콘텐츠#볼륨_negative_ratio_all_reviews,콘텐츠#몰입도_negative_count,콘텐츠#몰입도_mention_count,콘텐츠#몰입도_negative_ratio_all_reviews,시스템#밸런스_negative_count,시스템#밸런스_mention_count,시스템#밸런스_negative_ratio_all_reviews,시스템#독창성_negative_count,시스템#독창성_mention_count,시스템#독창성_negative_ratio_all_reviews,시스템#자유도_negative_count,시스템#자유도_mention_count,시스템#자유도_negative_ratio_all_reviews,UX#그래픽_negative_count,UX#그래픽_mention_count,UX#그래픽_negative_ratio_all_reviews,UX#캐릭터디자인_negative_count,UX#캐릭터디자인_mention_count,UX#캐릭터디자인_negative_ratio_all_reviews,UX#사운드_negative_count,UX#사운드_mention_count,UX#사운드_negative_ratio_all_reviews,스토리#내러티브_negative_count,스토리#내러티브_mention_count,스토리#내러티브_negative_ratio_all_reviews,운영#핵/치트_negative_count,운영#핵/치트_mention_count,운영#핵/치트_negative_ratio_all_reviews,운영#업데이트_negative_count,운영#업데이트_mention_count,운영#업데이트_negative_ratio_all_reviews,콘텐츠#난이도_negative_count,콘텐츠#난이도_mention_count,콘텐츠#난이도_negative_ratio_all_reviews,시스템#진입장벽_negative_count,시스템#진입장벽_mention_count,시스템#진입장벽_negative_ratio_all_reviews,콘텐츠#피로도_negative_count,콘텐츠#피로도_mention_count,콘텐츠#피로도_negative_ratio_all_reviews
FTL: Faster Than Light,100,3,4,0.03,0,2,0.0,8,8,0.08,1,19,0.01,1,64,0.01,20,21,0.2,1,27,0.01,2,19,0.02,0,6,0.0,1,5,0.01,0,4,0.0,0,8,0.0,3,3,0.03,5,11,0.05,20,23,0.2,13,15,0.13,12,12,0.12
Factorio,100,3,4,0.03,2,3,0.02,4,4,0.04,8,24,0.08,7,66,0.07,10,10,0.1,1,10,0.01,0,11,0.0,1,3,0.01,0,1,0.0,0,0,0.0,1,4,0.01,0,0,0.0,4,10,0.04,11,14,0.11,10,11,0.1,12,14,0.12
Fallout Shelter,100,4,7,0.04,1,7,0.01,6,7,0.06,5,19,0.05,1,54,0.01,14,15,0.14,2,10,0.02,1,11,0.01,1,11,0.01,1,6,0.01,1,6,0.01,0,6,0.0,4,4,0.04,8,13,0.08,12,16,0.12,19,22,0.19,15,16,0.15
Far Cry® Primal,100,7,9,0.07,4,9,0.04,12,14,0.12,6,16,0.06,4,67,0.04,18,19,0.18,3,23,0.03,4,23,0.04,5,19,0.05,5,14,0.05,3,9,0.03,5,19,0.05,4,4,0.04,7,10,0.07,17,20,0.17,15,18,0.15,19,20,0.19
Farming Simulator 19,100,7,8,0.07,0,4,0.0,17,17,0.17,5,15,0.05,3,51,0.03,3,4,0.03,0,7,0.0,3,12,0.03,2,5,0.02,1,2,0.01,1,2,0.01,2,4,0.02,0,0,0.0,6,11,0.06,6,7,0.06,10,11,0.1,19,19,0.19
Feed and Grow: Fish,100,8,8,0.08,1,1,0.01,22,22,0.22,2,9,0.02,1,44,0.01,7,8,0.07,1,7,0.01,2,9,0.02,1,4,0.01,1,1,0.01,0,1,0.0,1,5,0.01,0,0,0.0,9,12,0.09,6,7,0.06,5,6,0.05,11,11,0.11
Five Nights at Freddy's 2,100,5,5,0.05,2,3,0.02,5,5,0.05,0,1,0.0,0,43,0.0,15,17,0.15,2,9,0.02,2,6,0.02,0,5,0.0,1,5,0.01,0,0,0.0,0,1,0.0,1,1,0.01,4,4,0.04,16,19,0.16,7,7,0.07,4,4,0.04
Football Manager 26,100,20,22,0.2,14,17,0.14,27,28,0.27,9,18,0.09,11,43,0.11,26,27,0.26,12,20,0.12,13,19,0.13,12,19,0.12,8,13,0.08,8,12,0.08,5,9,0.05,11,11,0.11,26,34,0.26,17,18,0.17,22,23,0.22,11,11,0.11
For The King,100,8,8,0.08,3,3,0.03,12,12,0.12,3,13,0.03,4,59,0.04,24,25,0.24,3,13,0.03,3,10,0.03,0,1,0.0,0,1,0.0,0,0,0.0,0,1,0.0,3,3,0.03,15,16,0.15,17,21,0.17,14,16,0.14,11,11,0.11
For The King II,100,11,13,0.11,5,6,0.05,18,19,0.18,9,19,0.09,9,56,0.09,27,28,0.27,12,27,0.12,4,15,0.04,3,10,0.03,4,6,0.04,4,5,0.04,3,5,0.03,6,6,0.06,18,32,0.18,12,14,0.12,18,18,0.18,11,11,0.11
Foxhole,100,6,6,0.06,3,4,0.03,8,8,0.08,6,19,0.06,4,65,0.04,20,23,0.2,2,21,0.02,2,20,0.02,2,6,0.02,1,2,0.01,2,2,0.02,2,11,0.02,6,6,0.06,13,16,0.13,15,17,0.15,27,28,0.27,20,21,0.2
Frostpunk,100,5,5,0.05,1,4,0.01,5,6,0.05,1,9,0.01,1,73,0.01,11,11,0.11,2,13,0.02,2,15,0.02,1,6,0.01,0,1,0.0,0,1,0.0,1,12,0.01,0,0,0.0,3,5,0.03,11,16,0.11,12,13,0.12,11,12,0.11
Frostpunk 2,100,16,17,0.16,3,4,0.03,22,22,0.22,8,17,0.08,9,60,0.09,18,19,0.18,9,22,0.09,10,22,0.1,1,6,0.01,0,2,0.0,2,5,0.02,4,13,0.04,10,10,0.1,26,32,0.26,11,12,0.11,20,20,0.2,12,13,0.12
GIRLS' FRONTLINE 2: EXILIUM,100,5,5,0.05,1,2,0.01,6,6,0.06,5,19,0.05,5,48,0.05,25,25,0.25,12,21,0.12,7,25,0.07,2,12,0.02,9,18,0.09,0,1,0.0,2,7,0.02,9,9,0.09,23,28,0.23,10,15,0.1,14,15,0.14,17,19,0.17
GROUND BRANCH,100,13,14,0.13,8,15,0.08,10,10,0.1,10,23,0.1,4,56,0.04,20,22,0.2,6,21,0.06,7,22,0.07,5,17,0.05,4,12,0.04,5,13,0.05,3,7,0.03,3,3,0.03,14,28,0.14,18,21,0.18,17,19,0.17,15,15,0.15
Geometry Dash,100,3,3,0.03,1,3,0.01,3,3,0.03,1,9,0.01,1,51,0.01,6,6,0.06,0,2,0.0,1,6,0.01,1,3,0.01,1,1,0.01,1,1,0.01,0,1,0.0,1,1,0.01,3,7,0.03,12,15,0.12,4,4,0.04,7,7,0.07
Getting Over It with Bennett Foddy,100,1,3,0.01,0,4,0.0,3,4,0.03,1,11,0.01,1,59,0.01,4,4,0.04,1,12,0.01,1,9,0.01,0,7,0.0,1,2,0.01,0,2,0.0,0,6,0.0,0,0,0.0,2,4,0.02,10,20,0.1,10,13,0.1,11,12,0.11
Ghostrunner,100,11,12,0.11,3,9,0.03,7,7,0.07,9,26,0.09,5,62,0.05,22,22,0.22,6,23,0.06,7,29,0.07,4,21,0.04,2,13,0.02,4,13,0.04,6,16,0.06,2,2,0.02,11,18,0.11,30,35,0.3,19,20,0.19,15,16,0.15
Goose Goose Duck,100,2,3,0.02,2,5,0.02,4,4,0.04,2,11,0.02,0,52,0.0,14,14,0.14,1,7,0.01,2,9,0.02,0,2,0.0,0,0,0.0,0,2,0.0,1,3,0.01,2,2,0.02,2,3,0.02,8,10,0.08,12,13,0.12,12,12,0.12
HUMANKIND™,100,7,7,0.07,4,7,0.04,10,10,0.1,13,28,0.13,7,63,0.07,20,20,0.2,14,33,0.14,11,30,0.11,7,13,0.07,7,9,0.07,4,6,0.04,10,18,0.1,6,6,0.06,11,18,0.11,11,12,0.11,13,13,0.13,15,15,0.15
Hearts of Iron IV,100,7,9,0.07,2,3,0.02,6,6,0.06,2,10,0.02,5,60,0.05,8,8,0.08,0,5,0.0,1,6,0.01,2,3,0.02,0,0,0.0,0,1,0.0,2,5,0.02,0,0,0.0,9,11,0.09,11,11,0.11,8,9,0.08,3,3,0.03
Hell Let Loose,100,9,14,0.09,3,10,0.03,12,13,0.12,4,16,0.04,5,65,0.05,16,19,0.16,3,14,0.03,4,14,0.04,3,14,0.03,3,7,0.03,2,6,0.02,1,8,0.01,3,3,0.03,7,11,0.07,23,29,0.23,25,30,0.25,14,15,0.14
Hitman: Absolution™,100,4,8,0.04,4,9,0.04,6,7,0.06,1,14,0.01,0,62,0.0,16,18,0.16,1,18,0.01,1,14,0.01,4,12,0.04,2,10,0.02,2,6,0.02,1,13,0.01,4,5,0.04,8,13,0.08,8,12,0.08,11,14,0.11,8,10,0.08
Holdfast: Nations At War,100,15,16,0.15,4,9,0.04,12,13,0.12,2,7,0.02,2,53,0.02,14,18,0.14,1,12,0.01,1,12,0.01,0,6,0.0,0,3,0.0,0,2,0.0,0,6,0.0,1,2,0.01,3,11,0.03,14,16,0.14,18,19,0.18,11,11,0.11
ISLANDERS,100,4,5,0.04,1,4,0.01,7,7,0.07,4,24,0.04,2,73,0.02,18,18,0.18,3,21,0.03,1,28,0.01,2,13,0.02,4,10,0.04,0,2,0.0,2,11,0.02,3,3,0.03,8,10,0.08,18,28,0.18,28,33,0.28,19,21,0.19
In Silence,100,20,22,0.2,6,8,0.06,22,25,0.22,8,16,0.08,9,58,0.09,18,18,0.18,8,14,0.08,5,10,0.05,5,10,0.05,5,7,0.05,4,5,0.04,3,5,0.03,6,6,0.06,31,35,0.31,7,8,0.07,20,20,0.2,9,9,0.09
Insaniquarium Deluxe,100,17,21,0.17,3,4,0.03,27,29,0.27,4,14,0.04,1,68,0.01,2,3,0.02,2,12,0.02,2,9,0.02,1,8,0.01,0,4,0.0,1,2,0.01,1,6,0.01,3,3,0.03,6,12,0.06,8,10,0.08,14,15,0.14,13,13,0.13
Inscryption,100,1,2,0.01,1,4,0.01,5,5,0.05,4,21,0.04,0,77,0.0,17,18,0.17,5,26,0.05,3,25,0.03,0,7,0.0,1,3,0.01,0,4,0.0,4,12,0.04,1,1,0.01,5,16,0.05,13,19,0.13,13,15,0.13,10,11,0.1
Into the Breach,100,6,6,0.06,1,3,0.01,7,7,0.07,5,13,0.05,1,57,0.01,13,16,0.13,1,20,0.01,1,23,0.01,0,5,0.0,0,3,0.0,0,1,0.0,1,9,0.01,2,2,0.02,8,13,0.08,19,28,0.19,12,15,0.12,13,14,0.13
Iron Harvest,100,23,25,0.23,20,28,0.2,16,16,0.16,5,21,0.05,7,72,0.07,32,33,0.32,9,30,0.09,6,26,0.06,13,32,0.13,5,14,0.05,14,24,0.14,7,17,0.07,9,9,0.09,15,21,0.15,21,25,0.21,26,29,0.26,23,24,0.23
Jurassic World Evolution,100,8,9,0.08,3,5,0.03,10,11,0.1,5,17,0.05,1,60,0.01,14,14,0.14,4,8,0.04,4,13,0.04,0,7,0.0,2,4,0.02,1,3,0.01,4,9,0.04,2,2,0.02,10,14,0.1,12,14,0.12,12,12,0.12,14,16,0.14
Jurassic World Evolution 2,100,2,3,0.02,0,1,0.0,6,7,0.06,2,13,0.02,1,52,0.01,9,9,0.09,2,14,0.02,1,15,0.01,0,11,0.0,0,12,0.0,0,5,0.0,1,15,0.01,3,4,0.03,3,9,0.03,11,14,0.11,9,11,0.09,14,15,0.14
Just Shapes & Beats,100,4,6,0.04,1,13,0.01,4,5,0.04,18,34,0.18,0,70,0.0,14,19,0.14,7,28,0.07,6,29,0.06,3,29,0.03,4,18,0.04,2,18,0.02,6,30,0.06,5,5,0.05,10,17,0.1,23,30,0.23,19,23,0.19,21,25,0.21
Keep Talking and Nobody Explodes,100,6,7,0.06,7,11,0.07,13,13,0.13,6,13,0.06,1,47,0.01,13,14,0.13,1,12,0.01,4,15,0.04,4,13,0.04,4,6,0.04,2,6,0.02,0,4,0.0,1,2,0.01,2,4,0.02,20,25,0.2,26,28,0.26,14,14,0.14
Kerbal Space Program,100,6,7,0.06,3,5,0.03,3,4,0.03,2,7,0.02,0,50,0.0,6,6,0.06,0,13,0.0,0,11,0.0,2,6,0.02,0,2,0.0,3,4,0.03,2,4,0.02,0,0,0.0,3,7,0.03,10,12,0.1,7,8,0.07,6,7,0.06
Kingdom Rush  - Tower Defense,100,1,3,0.01,1,5,0.01,2,2,0.02,4,20,0.04,0,68,0.0,11,15,0.11,2,21,0.02,2,17,0.02,0,9,0.0,0,6,0.0,0,3,0.0,1,8,0.01,0,0,0.0,2,9,0.02,12,23,0.12,14,20,0.14,10,10,0.1
Liar's Bar,100,5,6,0.05,1,2,0.01,10,10,0.1,5,9,0.05,1,47,0.01,19,20,0.19,3,10,0.03,1,9,0.01,1,5,0.01,4,6,0.04,1,2,0.01,1,5,0.01,3,3,0.03,9,14,0.09,14,15,0.14,11,12,0.11,9,9,0.09
Library Of Ruina,100,8,8,0.08,5,6,0.05,12,12,0.12,5,13,0.05,4,59,0.04,19,19,0.19,6,15,0.06,3,10,0.03,3,9,0.03,4,5,0.04,4,6,0.04,3,12,0.03,14,14,0.14,17,20,0.17,12,15,0.12,17,18,0.17,9,9,0.09
Limbus Company,100,8,8,0.08,1,1,0.01,13,13,0.13,6,20,0.06,3,56,0.03,26,27,0.26,5,13,0.05,4,16,0.04,0,9,0.0,1,11,0.01,0,2,0.0,0,15,0.0,7,8,0.07,18,27,0.18,13,17,0.13,17,19,0.17,9,9,0.09
Lobotomy Corporation | Monster Management Simulation,100,3,5,0.03,0,2,0.0,5,5,0.05,5,10,0.05,2,45,0.02,13,14,0.13,4,8,0.04,0,9,0.0,0,6,0.0,0,3,0.0,0,0,0.0,3,8,0.03,5,5,0.05,4,9,0.04,19,21,0.19,12,16,0.12,14,14,0.14
MARVEL SNAP,100,11,14,0.11,1,2,0.01,15,16,0.15,3,19,0.03,4,47,0.04,22,28,0.22,4,21,0.04,3,20,0.03,0,5,0.0,1,3,0.01,0,0,0.0,1,6,0.01,3,3,0.03,24,34,0.24,16,20,0.16,22,26,0.22,15,16,0.15
Manor Lords,100,18,23,0.18,4,16,0.04,22,22,0.22,8,28,0.08,2,60,0.02,23,24,0.23,10,26,0.1,5,25,0.05,1,13,0.01,1,12,0.01,1,8,0.01,1,8,0.01,6,7,0.06,34,49,0.34,15,17,0.15,25,26,0.25,16,17,0.16
Marvel Rivals,100,3,3,0.03,6,7,0.06,4,4,0.04,4,18,0.04,2,50,0.02,20,22,0.2,3,11,0.03,3,15,0.03,6,23,0.06,3,18,0.03,4,6,0.04,4,12,0.04,1,2,0.01,6,11,0.06,12,14,0.12,11,11,0.11,14,14,0.14
Metaphor: ReFantazio,100,16,22,0.16,8,16,0.08,17,20,0.17,11,37,0.11,3,63,0.03,20,20,0.2,9,33,0.09,6,30,0.06,4,25,0.04,11,20,0.11,6,18,0.06,4,24,0.04,5,5,0.05,18,25,0.18,18,25,0.18,24,26,0.24,23,24,0.23
Middle-earth™: Shadow of War™,100,7,10,0.07,5,12,0.05,13,13,0.13,12,33,0.12,3,70,0.03,24,26,0.24,7,22,0.07,7,22,0.07,9,26,0.09,14,27,0.14,7,15,0.07,14,30,0.14,8,8,0.08,12,20,0.12,23,28,0.23,22,24,0.22,31,31,0.31
Mini Metro,100,4,9,0.04,5,9,0.05,5,7,0.05,5,17,0.05,6,63,0.06,11,12,0.11,4,15,0.04,3,13,0.03,3,10,0.03,2,5,0.02,2,5,0.02,1,5,0.01,0,0,0.0,7,10,0.07,13,23,0.13,15,22,0.15,14,16,0.14
Mini Motorways,100,9,10,0.09,2,9,0.02,11,11,0.11,4,16,0.04,0,70,0.0,11,13,0.11,1,18,0.01,4,21,0.04,3,22,0.03,5,11,0.05,4,8,0.04,1,10,0.01,0,0,0.0,7,14,0.07,28,33,0.28,17,20,0.17,18,20,0.18
Monster Train,100,2,4,0.02,2,5,0.02,5,5,0.05,5,29,0.05,0,77,0.0,16,18,0.16,6,29,0.06,3,26,0.03,3,17,0.03,7,14,0.07,2,9,0.02,2,16,0.02,4,4,0.04,7,14,0.07,15,21,0.15,16,18,0.16,18,19,0.18
Mount & Blade II: Bannerlord,100,6,6,0.06,3,3,0.03,6,6,0.06,3,15,0.03,6,62,0.06,14,15,0.14,4,13,0.04,4,11,0.04,2,4,0.02,1,3,0.01,1,1,0.01,2,5,0.02,4,4,0.04,7,12,0.07,11,13,0.11,8,9,0.08,12,13,0.12
Mount & Blade: Warband,100,3,7,0.03,0,3,0.0,4,5,0.04,0,15,0.0,2,64,0.02,8,10,0.08,3,18,0.03,0,18,0.0,0,6,0.0,2,3,0.02,0,1,0.0,1,5,0.01,1,1,0.01,2,8,0.02,3,6,0.03,3,5,0.03,3,5,0.03
NARUTO TO BORUTO: SHINOBI STRIKER,100,12,15,0.12,6,12,0.06,14,15,0.14,2,19,0.02,4,64,0.04,21,24,0.21,6,20,0.06,2,18,0.02,3,15,0.03,4,12,0.04,4,8,0.04,1,4,0.01,10,10,0.1,10,21,0.1,8,12,0.08,16,19,0.16,10,10,0.1
Northgard: Definitive Edition,100,9,13,0.09,1,6,0.01,15,17,0.15,4,22,0.04,5,67,0.05,11,13,0.11,4,21,0.04,7,27,0.07,2,9,0.02,0,5,0.0,1,5,0.01,2,11,0.02,0,0,0.0,11,20,0.11,13,17,0.13,17,20,0.17,16,17,0.16
Overcooked! 2,100,2,2,0.02,1,3,0.01,1,1,0.01,4,11,0.04,3,55,0.03,8,9,0.08,0,4,0.0,3,14,0.03,0,4,0.0,0,2,0.0,0,1,0.0,0,3,0.0,0,0,0.0,2,2,0.02,13,18,0.13,11,13,0.11,15,15,0.15
Oxygen Not Included,100,5,6,0.05,3,4,0.03,11,11,0.11,4,15,0.04,2,59,0.02,12,12,0.12,2,12,0.02,3,15,0.03,1,7,0.01,1,6,0.01,1,4,0.01,0,8,0.0,2,2,0.02,6,10,0.06,16,17,0.16,13,16,0.13,15,15,0.15
PAYDAY 2,100,9,11,0.09,3,3,0.03,10,10,0.1,4,10,0.04,0,59,0.0,4,5,0.04,2,7,0.02,0,7,0.0,2,5,0.02,1,2,0.01,1,2,0.01,0,2,0.0,4,4,0.04,10,17,0.1,6,8,0.06,9,10,0.09,1,1,0.01
PUBG: BATTLEGROUNDS,100,6,6,0.06,2,2,0.02,7,7,0.07,6,8,0.06,5,40,0.05,9,9,0.09,2,9,0.02,1,5,0.01,0,2,0.0,1,4,0.01,1,1,0.01,1,1,0.01,6,6,0.06,13,14,0.13,3,3,0.03,6,6,0.06,7,7,0.07
"Papers, Please",100,3,5,0.03,1,2,0.01,4,4,0.04,1,14,0.01,1,51,0.01,14,14,0.14,2,13,0.02,0,11,0.0,1,3,0.01,1,2,0.01,0,1,0.0,0,11,0.0,2,2,0.02,6,9,0.06,7,9,0.07,10,11,0.1,9,13,0.09
Pathfinder: Wrath of the Righteous - Enhanced Edition,100,9,14,0.09,6,15,0.06,13,13,0.13,3,33,0.03,3,79,0.03,27,29,0.27,6,36,0.06,4,32,0.04,1,27,0.01,8,22,0.08,4,18,0.04,0,19,0.0,9,9,0.09,12,29,0.12,25,30,0.25,27,29,0.27,29,30,0.29
Persona 3 Portable,100,9,9,0.09,9,9,0.09,13,14,0.13,10,34,0.1,4,69,0.04,26,26,0.26,9,29,0.09,11,32,0.11,6,22,0.06,8,18,0.08,5,12,0.05,5,21,0.05,7,7,0.07,20,32,0.2,28,30,0.28,22,22,0.22,31,31,0.31
Persona 3 Reload,100,8,12,0.08,4,13,0.04,4,6,0.04,3,27,0.03,0,72,0.0,15,19,0.15,5,30,0.05,2,26,0.02,1,20,0.01,2,13,0.02,2,11,0.02,3,23,0.03,0,0,0.0,6,14,0.06,15,22,0.15,18,21,0.18,25,26,0.25
Persona 4 Golden,100,1,5,0.01,0,7,0.0,4,4,0.04,2,24,0.02,4,66,0.04,12,14,0.12,2,29,0.02,2,24,0.02,1,19,0.01,4,19,0.04,0,11,0.0,2,24,0.02,5,6,0.05,7,13,0.07,11,16,0.11,15,18,0.15,13,14,0.13
PixARK,100,10,11,0.1,2,3,0.02,17,19,0.17,6,9,0.06,4,58,0.04,10,11,0.1,3,9,0.03,3,6,0.03,2,6,0.02,1,5,0.01,1,3,0.01,0,1,0.0,1,1,0.01,7,9,0.07,11,11,0.11,13,16,0.13,8,8,0.08
Plague Inc: Evolved,100,2,2,0.02,2,3,0.02,3,3,0.03,2,11,0.02,1,53,0.01,13,14,0.13,5,15,0.05,2,13,0.02,1,8,0.01,0,1,0.0,1,2,0.01,0,4,0.0,3,3,0.03,9,11,0.09,15,19,0.15,12,13,0.12,13,13,0.13
Planet Coaster,100,6,6,0.06,2,2,0.02,5,5,0.05,3,18,0.03,4,67,0.04,16,16,0.16,3,17,0.03,5,23,0.05,3,7,0.03,2,5,0.02,2,2,0.02,0,4,0.0,4,4,0.04,5,12,0.05,22,24,0.22,21,22,0.21,18,18,0.18
Planet Coaster 2,100,21,27,0.21,7,16,0.07,18,19,0.18,6,15,0.06,8,55,0.08,21,24,0.21,8,23,0.08,4,18,0.04,7,21,0.07,3,11,0.03,7,13,0.07,2,7,0.02,7,7,0.07,15,20,0.15,11,15,0.11,13,13,0.13,11,11,0.11
Planet Zoo,100,7,10,0.07,5,10,0.05,6,8,0.06,5,22,0.05,1,79,0.01,13,14,0.13,4,17,0.04,7,23,0.07,4,20,0.04,3,15,0.03,2,5,0.02,3,9,0.03,2,3,0.02,7,15,0.07,21,25,0.21,22,26,0.22,17,19,0.17
PlanetSide 2,100,11,11,0.11,3,6,0.03,11,11,0.11,5,15,0.05,3,54,0.03,16,17,0.16,1,11,0.01,1,9,0.01,1,5,0.01,0,3,0.0,3,5,0.03,0,3,0.0,16,16,0.16,19,25,0.19,8,9,0.08,15,17,0.15,6,7,0.06
Plants vs. Zombies GOTY Edition,100,1,1,0.01,1,1,0.01,3,3,0.03,1,8,0.01,1,64,0.01,5,6,0.05,3,13,0.03,1,7,0.01,1,5,0.01,0,4,0.0,0,1,0.0,0,1,0.0,0,0,0.0,8,10,0.08,5,6,0.05,3,3,0.03,4,4,0.04
PlateUp!,100,8,8,0.08,4,6,0.04,10,10,0.1,10,27,0.1,6,64,0.06,23,24,0.23,11,24,0.11,9,24,0.09,6,17,0.06,3,8,0.03,4,9,0.04,4,14,0.04,3,3,0.03,16,19,0.16,21,22,0.21,22,22,0.22,23,23,0.23
Poly Bridge 2,100,2,3,0.02,2,4,0.02,1,1,0.01,1,9,0.01,3,37,0.03,7,8,0.07,4,17,0.04,2,19,0.02,2,6,0.02,0,4,0.0,2,6,0.02,2,11,0.02,2,2,0.02,2,3,0.02,13,15,0.13,11,12,0.11,11,11,0.11
Prison Architect,100,13,16,0.13,3,6,0.03,20,20,0.2,4,22,0.04,3,61,0.03,13,13,0.13,3,18,0.03,3,21,0.03,1,9,0.01,3,6,0.03,4,6,0.04,2,6,0.02,3,3,0.03,11,18,0.11,18,21,0.18,26,27,0.26,21,21,0.21
Raft,100,0,1,0.0,1,4,0.01,2,2,0.02,1,11,0.01,3,61,0.03,7,7,0.07,1,6,0.01,1,10,0.01,2,7,0.02,1,3,0.01,1,3,0.01,4,9,0.04,0,0,0.0,2,2,0.02,6,7,0.06,10,10,0.1,15,16,0.15
Ravenfield,100,9,17,0.09,4,11,0.04,13,15,0.13,5,25,0.05,3,60,0.03,7,14,0.07,1,13,0.01,3,28,0.03,1,11,0.01,0,6,0.0,0,5,0.0,0,4,0.0,2,3,0.02,9,21,0.09,5,10,0.05,11,15,0.11,12,12,0.12
Riichi City - Japanese Mahjong,100,4,5,0.04,2,5,0.02,7,9,0.07,3,9,0.03,4,38,0.04,22,22,0.22,8,16,0.08,4,16,0.04,4,17,0.04,5,14,0.05,0,2,0.0,4,18,0.04,7,7,0.07,20,23,0.2,9,11,0.09,13,14,0.13,7,8,0.07
RimWorld,100,2,2,0.02,0,0,0.0,4,4,0.04,5,18,0.05,10,62,0.1,5,6,0.05,3,8,0.03,1,11,0.01,0,2,0.0,1,1,0.01,0,0,0.0,1,5,0.01,2,2,0.02,3,4,0.03,7,12,0.07,12,15,0.12,9,10,0.09
Romance of the Three Kingdoms XIII,100,0,1,0.0,0,1,0.0,6,7,0.06,2,15,0.02,5,65,0.05,13,13,0.13,2,15,0.02,2,13,0.02,1,3,0.01,1,2,0.01,0,1,0.0,0,6,0.0,0,1,0.0,10,15,0.1,9,9,0.09,10,10,0.1,7,8,0.07
Rusty's Retirement,100,8,10,0.08,1,13,0.01,7,7,0.07,10,44,0.1,4,82,0.04,20,20,0.2,8,30,0.08,5,35,0.05,3,27,0.03,8,25,0.08,3,18,0.03,8,25,0.08,4,4,0.04,8,13,0.08,24,31,0.24,26,32,0.26,36,36,0.36
SMASH LEGENDS,100,6,8,0.06,3,7,0.03,6,6,0.06,7,11,0.07,7,55,0.07,31,31,0.31,1,5,0.01,4,8,0.04,2,7,0.02,1,4,0.01,0,3,0.0,1,1,0.01,6,6,0.06,15,18,0.15,12,14,0.12,20,21,0.2,15,17,0.15
Satisfactory,100,5,8,0.05,2,3,0.02,7,8,0.07,6,25,0.06,3,68,0.03,17,19,0.17,1,9,0.01,3,19,0.03,3,5,0.03,1,2,0.01,1,2,0.01,1,4,0.01,1,1,0.01,9,17,0.09,15,21,0.15,21,24,0.21,20,22,0.2
Schedule I,100,7,7,0.07,1,2,0.01,8,9,0.08,4,25,0.04,4,68,0.04,20,20,0.2,3,18,0.03,7,20,0.07,2,9,0.02,1,7,0.01,1,2,0.01,1,9,0.01,3,3,0.03,11,22,0.11,12,16,0.12,16,19,0.16,19,20,0.19
Shadowverse: Worlds Beyond,100,5,7,0.05,4,8,0.04,2,2,0.02,14,33,0.14,6,59,0.06,25,27,0.25,10,26,0.1,10,30,0.1,4,17,0.04,8,16,0.08,7,12,0.07,8,22,0.08,5,5,0.05,15,21,0.15,20,22,0.2,20,21,0.2,22,22,0.22
Shelldiver,65,1,1,0.015384615384615385,0,1,0.0,0,0,0.0,3,23,0.046153846153846156,0,57,0.0,4,5,0.06153846153846154,0,4,0.0,1,9,0.015384615384615385,0,3,0.0,0,1,0.0,0,1,0.0,1,2,0.015384615384615385,0,0,0.0,0,4,0.0,2,4,0.03076923076923077,6,6,0.09230769230769231,6,10,0.09230769230769231
Sid Meier's Civilization VII,100,16,17,0.16,6,9,0.06,15,15,0.15,7,23,0.07,14,61,0.14,27,29,0.27,14,29,0.14,4,19,0.04,6,16,0.06,7,11,0.07,6,7,0.06,5,12,0.05,7,7,0.07,17,26,0.17,13,17,0.13,18,20,0.18,19,20,0.19
Sid Meier's Civilization® V,100,1,2,0.01,0,2,0.0,4,4,0.04,3,12,0.03,1,62,0.01,2,3,0.02,1,9,0.01,0,4,0.0,0,4,0.0,0,2,0.0,0,2,0.0,0,6,0.0,0,0,0.0,3,5,0.03,5,9,0.05,8,9,0.08,9,9,0.09
Sid Meier’s Civilization® VI,100,1,2,0.01,0,0,0.0,2,2,0.02,4,12,0.04,2,61,0.02,4,6,0.04,0,2,0.0,0,2,0.0,0,0,0.0,1,3,0.01,0,0,0.0,0,2,0.0,1,2,0.01,3,6,0.03,4,7,0.04,8,12,0.08,4,5,0.04
Slay the Spire,100,1,2,0.01,0,1,0.0,2,2,0.02,2,12,0.02,1,73,0.01,12,12,0.12,0,14,0.0,0,11,0.0,0,7,0.0,1,4,0.01,0,2,0.0,0,5,0.0,0,0,0.0,2,6,0.02,14,19,0.14,11,13,0.11,10,11,0.1
Slay the Spire 2,100,5,6,0.05,0,0,0.0,8,8,0.08,2,8,0.02,3,51,0.03,22,22,0.22,5,9,0.05,3,8,0.03,0,1,0.0,0,2,0.0,0,0,0.0,0,2,0.0,3,3,0.03,18,21,0.18,11,13,0.11,8,8,0.08,7,7,0.07
Space Engineers,100,8,11,0.08,4,8,0.04,7,8,0.07,9,26,0.09,1,58,0.01,14,16,0.14,4,17,0.04,4,26,0.04,3,9,0.03,1,3,0.01,2,6,0.02,2,8,0.02,2,2,0.02,11,19,0.11,18,24,0.18,27,29,0.27,16,17,0.16
